UF,epiyear,epiweek,sexo,SRAG,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos,Tipo
11,2009,1,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,1,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,1,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,2,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,2,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,2,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,3,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,3,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,3,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,4,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,4,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,4,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,5,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,5,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,5,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,6,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,6,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,6,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,7,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,7,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,7,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,8,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,8,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,8,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,9,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,9,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,9,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,10,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,10,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,10,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,11,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,11,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,11,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,12,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,12,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,12,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,13,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,13,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,13,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,14,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,14,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,14,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,15,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,15,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,15,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,16,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,16,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,16,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,17,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,17,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,17,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,18,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,18,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,18,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,19,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
11,2009,19,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Estado
