UF,epiyear,epiweek,SRAG,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
11,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,30,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,2009,31,6.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
11,2009,32,8.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0
11,2009,33,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
11,2009,34,9.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
11,2009,35,12.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0
11,2009,36,13.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0
11,2009,37,5.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
11,2009,38,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
11,2009,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,40,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11,2009,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,42,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11,2009,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,46,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,2009,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2009,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
