UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,SRAG2017
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
11,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11,4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
11,7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
11,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
11,9,0.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0
11,10,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,11,0.0,16.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0
11,12,0.0,8.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0
11,13,0.0,10.0,0.0,0.0,1.0,4.0,2.0,21.0,3.0
11,14,0.0,24.0,0.0,0.0,0.0,7.0,2.0,24.0,0.0
11,15,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0
11,16,0.0,5.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0
11,17,0.0,3.0,1.0,0.0,0.0,4.0,2.0,7.0,0.0
11,18,0.0,2.0,0.0,0.0,1.0,6.0,2.0,10.0,2.0
11,19,0.0,2.0,0.0,1.0,1.0,6.0,2.0,4.0,0.0
11,20,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0
11,21,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
11,22,0.0,0.0,0.0,0.0,3.0,7.0,1.0,4.0,1.0
11,23,0.0,0.0,0.0,0.0,5.0,11.0,2.0,5.0,0.0
11,24,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
11,25,0.0,0.0,0.0,0.0,2.0,13.0,0.0,9.0,1.0
11,26,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0
11,27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
11,28,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
11,29,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0
11,30,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
11,31,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
11,32,5.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0
11,33,6.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0
11,34,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,35,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
11,36,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
11,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,38,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11,39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,40,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
11,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
11,42,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,
11,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
