"Sigla","Ano","Total","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+"
"RO",2000,1401535,160573,164716,162206,157743,138457,121911,111570,98405,78415,59979,43885,33297,25994,18743,12548,7321,3428,1443,901
"RO",2001,1431048,162084,164597,162826,159773,142699,124738,113458,101469,82132,63156,46299,34614,26880,19559,13118,7729,3665,1398,854
"RO",2002,1459811,163196,164136,163505,160872,147210,127907,115245,104174,86038,66338,48975,36055,27744,20424,13692,8148,3918,1431,803
"RO",2003,1487850,164048,163286,164152,161327,151645,131422,117086,106567,89982,69572,51850,37664,28628,21311,14275,8577,4183,1512,763
"RO",2004,1515151,164765,161989,164581,161628,155500,135274,119193,108740,93742,72932,54841,39488,29597,22174,14887,9008,4453,1620,739
"RO",2005,1541715,165556,160112,164682,162073,158455,139426,121705,110769,97179,76458,57886,41557,30692,22998,15529,9441,4724,1743,730
"RO",2006,1567546,162658,161517,164452,162581,160537,143847,124596,112677,100290,80140,60971,43874,31904,23798,16204,9880,5002,1879,739
"RO",2007,1592640,159847,162536,163878,163147,161684,148540,127829,114487,103045,84008,64062,46437,33231,24578,16922,10322,5291,2024,772
"RO",2008,1616992,157101,163301,162922,163677,162181,153153,131413,116349,105490,87909,67200,49193,34708,25378,17653,10776,5585,2180,823
"RO",2009,1640607,154445,163927,161518,163995,162510,157184,135337,118476,107716,91629,70459,52054,36386,26251,18363,11247,5882,2339,889
"RO",2010,1663490,151892,164626,159536,163982,162973,160311,139564,121001,109801,95027,73873,54961,38288,27230,19037,11738,6184,2497,969
"RO",2011,1685697,149458,161657,160836,163657,163479,162544,144062,123895,111757,98108,77437,57910,40424,28312,19699,12253,6492,2658,1059
"RO",2012,1707272,147144,158803,161775,163010,164015,163810,148822,127129,113604,100850,81180,60871,42797,29499,20365,12804,6807,2829,1158
"RO",2013,1728214,144943,156036,162483,162005,164504,164385,153490,130715,115493,103294,84964,63883,45359,30825,21062,13372,7134,3002,1265
