"0-4 anos","10-19 anos","20-29 anos","30-39 anos","40-49 anos","5-9 anos","50-59 anos","60+ anos","Ano","Código","Região","Região oficial","Sigla","Tipo","Total","UF"
160573,319949,260368,209975,138394,164716,77182,70378,2000,11,"RegN","N","RO","Estado",1401535,"Rondônia"
162084,322599,267437,214927,145288,164597,80913,73203,2001,11,"RegN","N","RO","Estado",1431048,"Rondônia"
163196,324377,275117,219419,152376,164136,85030,76160,2002,11,"RegN","N","RO","Estado",1459811,"Rondônia"
164048,325479,283067,223653,159554,163286,89514,79249,2003,11,"RegN","N","RO","Estado",1487850,"Rondônia"
164765,326209,290774,227933,166674,161989,94329,82478,2004,11,"RegN","N","RO","Estado",1515151,"Rondônia"
165556,326755,297881,232474,173637,160112,99443,85857,2005,11,"RegN","N","RO","Estado",1541715,"Rondônia"
162658,327033,304384,237273,180430,161517,104845,89406,2006,11,"RegN","N","RO","Estado",1567546,"Rondônia"
159847,327025,310224,242316,187053,162536,110499,93140,2007,11,"RegN","N","RO","Estado",1592640,"Rondônia"
157101,326599,315334,247762,193399,163301,116393,97103,2008,11,"RegN","N","RO","Estado",1616992,"Rondônia"
154445,325513,319694,253813,199345,163927,122513,101357,2009,11,"RegN","N","RO","Estado",1640607,"Rondônia"
151892,323518,323284,260565,204828,164626,128834,105943,2010,11,"RegN","N","RO","Estado",1663490,"Rondônia"
149458,324493,326023,267957,209865,161657,135347,110897,2011,11,"RegN","N","RO","Estado",1685697,"Rondônia"
147144,324785,327825,275951,214454,158803,142051,116259,2012,11,"RegN","N","RO","Estado",1707272,"Rondônia"
144943,324488,328889,284205,218787,156036,148847,122019,2013,11,"RegN","N","RO","Estado",1728214,"Rondônia"
142826,323664,329542,292192,223160,153383,155595,128169,2014,11,"RegN","N","RO","Estado",1748531,"Rondônia"
140771,322387,329968,299563,227775,150851,162199,134690,2015,11,"RegN","N","RO","Estado",1768204,"Rondônia"
138798,320751,330112,306297,232629,148447,168647,141598,2016,11,"RegN","N","RO","Estado",1787279,"Rondônia"
136935,318867,329971,312322,237714,146162,174942,148875,2017,11,"RegN","N","RO","Estado",1805788,"Rondônia"
135197,316839,329424,317564,243191,143984,180986,156556,2018,11,"RegN","N","RO","Estado",1823741,"Rondônia"
133580,314814,328252,322000,249258,141892,186662,164684,2019,11,"RegN","N","RO","Estado",1841142,"Rondônia"
132095,313005,326218,325606,256009,139864,191916,173279,2020,11,"RegN","N","RO","Estado",1857992,"Rondônia"
130732,307699,327162,328324,263386,137911,196769,182335,2021,11,"RegN","N","RO","Estado",1874318,"Rondônia"
129474,302628,327445,330114,271346,136069,201219,191860,2022,11,"RegN","N","RO","Estado",1890155,"Rondônia"
128305,297743,327162,331164,279554,134350,205439,201766,2023,11,"RegN","N","RO","Estado",1905483,"Rondônia"
127203,293054,326366,331799,287499,132758,209712,211905,2024,11,"RegN","N","RO","Estado",1920296,"Rondônia"
126161,288549,325131,332210,294833,131289,214223,222173,2025,11,"RegN","N","RO","Estado",1934569,"Rondônia"
125148,284249,323549,332337,301533,129939,218968,232572,2026,11,"RegN","N","RO","Estado",1948295,"Rondônia"
124142,280170,321721,332183,307528,128698,223944,243097,2027,11,"RegN","N","RO","Estado",1961483,"Rondônia"
123141,276322,319747,331644,312741,127544,229294,253681,2028,11,"RegN","N","RO","Estado",1974114,"Rondônia"
122142,272678,317752,330504,317155,126458,235209,264265,2029,11,"RegN","N","RO","Estado",1986163,"Rondônia"
121140,269223,315954,328537,320751,125431,241776,274805,2030,11,"RegN","N","RO","Estado",1997617,"Rondônia"
84773,138884,106522,72347,48572,77034,28602,30673,2000,12,"RegN","N","AC","Estado",587407,"Acre"
86180,140339,110461,74952,50470,78556,29818,31233,2001,12,"RegN","N","AC","Estado",602009,"Acre"
87409,141616,114602,77660,52326,80069,31142,31957,2002,12,"RegN","N","AC","Estado",616781,"Acre"
88441,142892,118737,80478,54178,81533,32574,32817,2003,12,"RegN","N","AC","Estado",631650,"Acre"
89283,144428,122553,83408,56093,82888,34108,33787,2004,12,"RegN","N","AC","Estado",646548,"Acre"
90023,146382,125852,86452,58118,84017,35740,34843,2005,12,"RegN","N","AC","Estado",661427,"Acre"
90106,148719,128677,89597,60241,85454,37472,35986,2006,12,"RegN","N","AC","Estado",676252,"Acre"
90014,151431,131035,92817,62454,86715,39310,37221,2007,12,"RegN","N","AC","Estado",690997,"Acre"
89775,154373,133014,96147,64763,87782,41209,38572,2008,12,"RegN","N","AC","Estado",705635,"Acre"
89420,157302,134764,99667,67158,88659,43103,40059,2009,12,"RegN","N","AC","Estado",720132,"Acre"
88960,159968,136395,103394,69643,89432,44953,41702,2010,12,"RegN","N","AC","Estado",734447,"Acre"
88426,162943,137882,107308,72229,89548,46772,43508,2011,12,"RegN","N","AC","Estado",748616,"Acre"
87845,165736,139192,111423,74915,89487,48559,45474,2012,12,"RegN","N","AC","Estado",762631,"Acre"
87220,168282,140508,115528,77711,89276,50348,47590,2013,12,"RegN","N","AC","Estado",776463,"Acre"
86554,170528,142081,119325,80619,88942,52208,49844,2014,12,"RegN","N","AC","Estado",790101,"Acre"
85849,172450,144060,122620,83643,88496,54177,52218,2015,12,"RegN","N","AC","Estado",803513,"Acre"
85089,174024,146416,125452,86769,87970,56242,54725,2016,12,"RegN","N","AC","Estado",816687,"Acre"
84259,175238,149144,127833,89973,87397,58397,57378,2017,12,"RegN","N","AC","Estado",829619,"Acre"
83368,176111,152099,129840,93288,86784,60650,60150,2018,12,"RegN","N","AC","Estado",842290,"Acre"
82425,176669,155042,131628,96794,86129,62989,63015,2019,12,"RegN","N","AC","Estado",854691,"Acre"
81446,177015,157733,133303,100498,85434,65418,65964,2020,12,"RegN","N","AC","Estado",866811,"Acre"
80444,176627,160726,134835,104391,84687,67939,69005,2021,12,"RegN","N","AC","Estado",878654,"Acre"
79433,176015,163536,136194,108477,83874,70557,72134,2022,12,"RegN","N","AC","Estado",890220,"Acre"
78431,175214,166099,137548,112550,82996,73275,75381,2023,12,"RegN","N","AC","Estado",901494,"Acre"
77446,174247,168364,139154,116325,82062,76102,78780,2024,12,"RegN","N","AC","Estado",912480,"Acre"
