Sigla,Sexo,Ano,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
RO,M,2000,723462,82406,83825,82693,80496,70344,60977,57577,51932,41304,31550,23694,17669,14277,10380,7198,4100,1893,737,410
,,2001,737819,83175,83789,82963,81569,72578,62412,58105,53375,43250,33132,24866,18357,14619,10752,7442,4339,2014,732,350
,,2002,751815,83717,83625,83252,82150,74916,64178,58529,54570,45308,34754,26103,19181,14902,11179,7657,4588,2141,758,307
,,2003,765465,84088,83318,83523,82386,77195,66211,58996,55541,47375,36430,27409,20122,15184,11625,7862,4838,2277,803,282
,,2004,778751,84338,82840,83697,82521,79189,68394,59723,56336,49301,38182,28800,21135,15551,12036,8091,5067,2422,857,271
,,2005,791680,84565,82125,83731,82708,80753,70640,60841,57002,50995,40017,30282,22196,16052,12390,8355,5267,2575,916,270
,,2006,804251,83113,82868,83634,82908,81878,72971,62309,57558,52459,41934,31831,23320,16674,12697,8655,5445,2736,981,280
,,2007,816468,81705,83390,83407,83125,82513,75408,64107,58011,53680,43963,33421,24502,17422,12954,9000,5604,2906,1049,301
,,2008,828323,80329,83746,83038,83323,82797,77786,66173,58509,54680,46001,35062,25752,18273,13210,9359,5755,3075,1124,331
,,2009,839825,78997,83980,82501,83428,82976,79877,68390,59262,55507,47905,36780,27080,19190,13543,9687,5922,3229,1203,368
,,2010,850973,77716,84191,81725,83391,83201,81538,70671,60401,56208,49582,38575,28492,20147,13991,9967,6114,3366,1285,412
,,2011,861781,76491,82729,82413,83230,83423,82750,73038,61882,56796,51036,40450,29970,21161,14546,10212,6333,3490,1371,460
,,2012,872266,75321,81319,82898,82951,83640,83459,75503,63690,57276,52256,42426,31493,22234,15210,10428,6587,3603,1463,509
,,2013,882422,74204,79945,83231,82541,83828,83797,77900,65764,57794,53263,44412,33067,23374,15966,10652,6855,3713,1556,560
,,2014,892253,73127,78619,83455,81985,83917,84009,80000,67985,58562,54096,46267,34715,24592,16782,10946,7105,3837,1641,613
,,2015,901750,72081,77348,83667,81209,83868,84235,81665,70269,59706,54802,47904,36437,25894,17642,11335,7324,3978,1719,667
,,2016,910942,71076,76136,82216,81902,83701,84444,82879,72635,61189,55397,49331,38229,27266,18555,11813,7522,4137,1791,723
,,2017,919834,70126,74977,80817,82391,83418,84648,83589,75095,62993,55886,50533,40119,28678,19523,12380,7702,4318,1858,783
,,2018,928442,69239,73868,79454,82732,83009,84819,83929,77488,65060,56414,51528,42016,30141,20551,13023,7890,4510,1926,845
,,2019,936767,68413,72802,78143,82962,82454,84893,84141,79587,67274,57188,52357,43790,31670,21651,13716,8132,4688,2002,904
,,2020,944802,67655,71767,76883,83181,81683,84832,84366,81252,69550,58329,53065,45356,33270,22826,14447,8445,4845,2089,961
,,2021,952570,66959,70769,75682,81751,82374,84656,84571,82468,71905,59803,53664,46727,34936,24065,15225,8825,4990,2183,1017
,,2022,960081,66316,69826,74537,80371,82869,84365,84773,83186,74354,61589,54164,47887,36695,25341,16047,9272,5125,2291,1073
,,2023,967329,65720,68948,73437,79025,83220,83955,84943,83533,76734,63631,54702,48852,38461,26663,16924,9777,5270,2403,1131
,,2024,974312,65158,68132,72380,77725,83460,83409,85014,83755,78820,65817,55478,49663,40117,28046,17862,10325,5452,2508,1191
,,2025,981014,64625,67380,71353,76478,83683,82656,84955,83986,80478,68067,56610,50360,41583,29496,18866,10899,5684,2601,1254
,,2026,987437,64107,66689,70367,75289,82274,83349,84781,84195,81693,70394,58061,50955,42871,31007,19924,11511,5961,2689,1320
,,2027,993581,63593,66052,69433,74152,80904,83849,84497,84401,82415,72811,59818,51458,43966,32604,21015,12161,6283,2776,1393
,,2028,999445,63082,65462,68563,73063,79563,84205,84098,84575,82770,75162,61821,52000,44887,34210,22145,12856,6645,2868,1470
,,2029,1005010,62570,64908,67754,72013,78261,84448,83566,84654,82999,77222,63966,52770,45667,35716,23330,13601,7037,2983,1545
,,2030,1010274,62059,64381,67009,70996,77008,84666,82836,84604,83237,78864,66174,53882,46339,37055,24575,14397,7448,3128,1616
,F,2000,678073,78167,80891,79513,77247,68113,60934,53993,46473,37111,28429,20191,15628,11717,8363,5350,3221,1535,706,491
,,2001,693229,78909,80808,79863,78204,70121,62326,55353,48094,38882,30024,21433,16257,12261,8807,5676,3390,1651,666,504
,,2002,707996,79479,80511,80253,78722,72294,63729,56716,49604,40730,31584,22872,16874,12842,9245,6035,3560,1777,673,496
,,2003,722385,79960,79968,80629,78941,74450,65211,58090,51026,42607,33142,24441,17542,13444,9686,6413,3739,1906,709,481
,,2004,736400,80427,79149,80884,79107,76311,66880,59470,52404,44441,34750,26041,18353,14046,10138,6796,3941,2031,763,468
,,2005,750035,80991,77987,80951,79365,77702,68786,60864,53767,46184,36441,27604,19361,14640,10608,7174,4174,2149,827,460
,,2006,763295,79545,78649,80818,79673,78659,70876,62287,55119,47831,38206,29140,20554,15230,11101,7549,4435,2266,898,459
,,2007,776172,78142,79146,80471,80022,79171,73132,63722,56476,49365,40045,30641,21935,15809,11624,7922,4718,2385,975,471
,,2008,788669,76772,79555,79884,80354,79384,75367,65240,57840,50810,41908,32138,23441,16435,12168,8294,5021,2510,1056,492
,,2009,800782,75448,79947,79017,80567,79534,77307,66947,59214,52209,43724,33679,24974,17196,12708,8676,5325,2653,1136,521
,,2010,812517,74176,80435,77811,80591,79772,78773,68893,60600,53593,45445,35298,26469,18141,13239,9070,5624,2818,1212,557
,,2011,823916,72967,78928,78423,80427,80056,79794,71024,62013,54961,47072,36987,27940,19263,13766,9487,5920,3002,1287,599
,,2012,835006,71823,77484,78877,80059,80375,80351,73319,63439,56328,48594,38754,29378,20563,14289,9937,6217,3204,1366,649
,,2013,845792,70739,76091,79252,79464,80676,80588,75590,64951,57699,50031,40552,30816,21985,14859,10410,6517,3421,1446,705
,,2014,856278,69699,74764,79625,78599,80868,80748,77555,66652,59078,51424,42309,32304,23436,15558,10887,6829,3643,1538,762
