Código,Sigla,UF,Região,Região oficial,Ano,Sexo,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
11,RO,Rondônia,RegN,N,2000,F,678073,78167,80891,156760,129047,100466,65540,35819,31383
11,RO,Rondônia,RegN,N,2000,M,723462,82406,83825,163189,131321,109509,72854,41363,38995
11,RO,Rondônia,RegN,N,2000,Total,1401535,160573,164716,319949,260368,209975,138394,77182,70378
11,RO,Rondônia,RegN,N,2001,F,693229,78909,80808,158067,132447,103447,68906,37690,32955
11,RO,Rondônia,RegN,N,2001,M,737819,83175,83789,164532,134990,111480,76382,43223,40248
11,RO,Rondônia,RegN,N,2001,Total,1431048,162084,164597,322599,267437,214927,145288,80913,73203
11,RO,Rondônia,RegN,N,2002,F,707996,79479,80511,158975,136023,106320,72314,39746,34628
11,RO,Rondônia,RegN,N,2002,M,751815,83717,83625,165402,139094,113099,80062,45284,41532
11,RO,Rondônia,RegN,N,2002,Total,1459811,163196,164136,324377,275117,219419,152376,85030,76160
11,RO,Rondônia,RegN,N,2003,F,722385,79960,79968,159570,139661,109116,75749,41983,36378
11,RO,Rondônia,RegN,N,2003,M,765465,84088,83318,165909,143406,114537,83805,47531,42871
11,RO,Rondônia,RegN,N,2003,Total,1487850,164048,163286,325479,283067,223653,159554,89514,79249
11,RO,Rondônia,RegN,N,2004,F,736400,80427,79149,159991,143191,111874,79191,44394,38183
11,RO,Rondônia,RegN,N,2004,M,778751,84338,82840,166218,147583,116059,87483,49935,44295
11,RO,Rondônia,RegN,N,2004,Total,1515151,164765,161989,326209,290774,227933,166674,94329,82478
11,RO,Rondônia,RegN,N,2005,F,750035,80991,77987,160316,146488,114631,82625,46965,40032
11,RO,Rondônia,RegN,N,2005,M,791680,84565,82125,166439,151393,117843,91012,52478,45825
11,RO,Rondônia,RegN,N,2005,Total,1541715,165556,160112,326755,297881,232474,173637,99443,85857
11,RO,Rondônia,RegN,N,2006,F,763295,79545,78649,160491,149535,117406,86037,49694,41938
11,RO,Rondônia,RegN,N,2006,M,804251,83113,82868,166542,154849,119867,94393,55151,47468
11,RO,Rondônia,RegN,N,2006,Total,1567546,162658,161517,327033,304384,237273,180430,104845,89406
11,RO,Rondônia,RegN,N,2007,F,776172,78142,79146,160493,152303,120198,89410,52576,43904
11,RO,Rondônia,RegN,N,2007,M,816468,81705,83390,166532,157921,122118,97643,57923,49236
11,RO,Rondônia,RegN,N,2007,Total,1592640,159847,162536,327025,310224,242316,187053,110499,93140
11,RO,Rondônia,RegN,N,2008,F,788669,76772,79555,160238,154751,123080,92718,55579,45976
11,RO,Rondônia,RegN,N,2008,M,828323,80329,83746,166361,160583,124682,100681,60814,51127
11,RO,Rondônia,RegN,N,2008,Total,1616992,157101,163301,326599,315334,247762,193399,116393,97103
11,RO,Rondônia,RegN,N,2009,F,800782,75448,79947,159584,156841,126161,95933,58653,48215
11,RO,Rondônia,RegN,N,2009,M,839825,78997,83980,165929,162853,127652,103412,63860,53142
11,RO,Rondônia,RegN,N,2009,Total,1640607,154445,163927,325513,319694,253813,199345,122513,101357
11,RO,Rondônia,RegN,N,2010,F,812517,74176,80435,158402,158545,129493,99038,61767,50661
11,RO,Rondônia,RegN,N,2010,M,850973,77716,84191,165116,164739,131072,105790,67067,55282
11,RO,Rondônia,RegN,N,2010,Total,1663490,151892,164626,323518,323284,260565,204828,128834,105943
11,RO,Rondônia,RegN,N,2011,F,823916,72967,78928,158850,159850,133037,102033,64927,53324
11,RO,Rondônia,RegN,N,2011,M,861781,76491,82729,165643,166173,134920,107832,70420,57573
11,RO,Rondônia,RegN,N,2011,Total,1685697,149458,161657,324493,326023,267957,209865,135347,110897
11,RO,Rondônia,RegN,N,2012,F,835006,71823,77484,158936,160726,136758,104922,68132,56225
11,RO,Rondônia,RegN,N,2012,M,872266,75321,81319,165849,167099,139193,109532,73919,60034
11,RO,Rondônia,RegN,N,2012,Total,1707272,147144,158803,324785,327825,275951,214454,142051,116259
11,RO,Rondônia,RegN,N,2013,F,845792,70739,76091,158716,161264,140541,107730,71368,59343
11,RO,Rondônia,RegN,N,2013,M,882422,74204,79945,165772,167625,143664,111057,77479,62676
11,RO,Rondônia,RegN,N,2013,Total,1728214,144943,156036,324488,328889,284205,218787,148847,122019
11,RO,Rondônia,RegN,N,2014,F,856278,69699,74764,158224,161616,144207,110502,74613,62653
11,RO,Rondônia,RegN,N,2014,M,892253,73127,78619,165440,167926,147985,112658,80982,65516
11,RO,Rondônia,RegN,N,2014,Total,1748531,142826,153383,323664,329542,292192,223160,155595,128169
11,RO,Rondônia,RegN,N,2015,F,866454,68690,73503,157511,161865,147629,113267,77858,66131
11,RO,Rondônia,RegN,N,2015,M,901750,72081,77348,164876,168103,151934,114508,84341,68559
11,RO,Rondônia,RegN,N,2015,Total,1768204,140771,150851,322387,329968,299563,227775,162199,134690
11,RO,Rondônia,RegN,N,2016,F,876337,67722,72311,156633,161967,150783,116043,81087,69791
11,RO,Rondônia,RegN,N,2016,M,910942,71076,76136,164118,168145,155514,116586,87560,71807
11,RO,Rondônia,RegN,N,2016,Total,1787279,138798,148447,320751,330112,306297,232629,168647,141598
