codmun,mun_nome,no_regiao_sc,co_regsaud_sc
420005,ABDON BATISTA,MEIO OESTE,42008
420010,ABELARDO LUZ,XANXERE,42003
420020,AGROLANDIA,ALTO VALE DO ITAJAI,42004
420030,AGRONOMICA,ALTO VALE DO ITAJAI,42004
420040,AGUA DOCE,MEIO OESTE,42008
420050,AGUAS DE CHAPECO,OESTE,42002
420055,AGUAS FRIAS,OESTE,42002
420060,AGUAS MORNAS,GRANDE FLORIANOPOLIS,42007
420070,ALFREDO WAGNER,GRANDE FLORIANOPOLIS,42007
420075,ALTO BELA VISTA,ALTO URUGUAI CATARINENSE,42010
420080,ANCHIETA,EXTREMO OESTE,42001
420090,ANGELINA,GRANDE FLORIANOPOLIS,42007
420100,ANITA GARIBALDI,SERRA CATARINENSE,42013
420110,ANITAPOLIS,GRANDE FLORIANOPOLIS,42007
420120,ANTONIO CARLOS,GRANDE FLORIANOPOLIS,42007
420125,APIUNA,MEDIO VALE DO ITAJAI,42006
420127,ARABUTA,ALTO URUGUAI CATARINENSE,42010
420130,ARAQUARI,NORDESTE,42011
420140,ARARANGUA,EXTREMO SUL CATARINENSE,42014
420150,ARMAZEM,LAGUNA,42016
420160,ARROIO TRINTA,ALTO VALE DO RIO DO PEIXE,42009
420165,ARVOREDO,OESTE,42002
420170,ASCURRA,MEDIO VALE DO ITAJAI,42006
420180,ATALANTA,ALTO VALE DO ITAJAI,42004
420190,AURORA,ALTO VALE DO ITAJAI,42004
420195,BALNEARIO ARROIO DO SILV,EXTREMO SUL CATARINENSE,42014
420205,BALNEARIO BARRA DO SUL,NORDESTE,42011
420200,BALNEARIO CAMBORIU,FOZ DO RIO ITAJAI,42005
420207,BALNEARIO GAIVOTA,EXTREMO SUL CATARINENSE,42014
421280,BALNEARIO PIÇARRAS,FOZ DO RIO ITAJAI,42005
422000,BALNEARIO RINCAO,CARBONIFERA,42015
420208,BANDEIRANTE,EXTREMO OESTE,42001
420209,BARRA BONITA,EXTREMO OESTE,42001
420210,BARRA VELHA,VALE DO ITAPOCU,42017
420213,BELA VISTA DO TOLDO,PLANALTO NORTE,42012
420215,BELMONTE,EXTREMO OESTE,42001
420220,BENEDITO NOVO,MEDIO VALE DO ITAJAI,42006
420230,BIGUAÇU,GRANDE FLORIANOPOLIS,42007
420240,BLUMENAU,MEDIO VALE DO ITAJAI,42006
420243,BOCAINA DO SUL,SERRA CATARINENSE,42013
420250,BOM JARDIM DA SERRA,SERRA CATARINENSE,42013
420253,BOM JESUS,XANXERE,42003
420257,BOM JESUS DO OESTE,EXTREMO OESTE,42001
420260,BOM RETIRO,SERRA CATARINENSE,42013
420245,BOMBINHAS,FOZ DO RIO ITAJAI,42005
420270,BOTUVERA,MEDIO VALE DO ITAJAI,42006
420280,BRAÇO DO NORTE,LAGUNA,42016
420285,BRAÇO DO TROMBUDO,ALTO VALE DO ITAJAI,42004
420287,BRUNOPOLIS,MEIO OESTE,42008
420290,BRUSQUE,MEDIO VALE DO ITAJAI,42006
420300,CAÇADOR,ALTO VALE DO RIO DO PEIXE,42009
420310,CAIBI,OESTE,42002
420315,CALMON,ALTO VALE DO RIO DO PEIXE,42009
420320,CAMBORIU,FOZ DO RIO ITAJAI,42005
420330,CAMPO ALEGRE,PLANALTO NORTE,42012
420340,CAMPO BELO DO SUL,SERRA CATARINENSE,42013
420350,CAMPO ERE,XANXERE,42003
420360,CAMPOS NOVOS,MEIO OESTE,42008
420370,CANELINHA,GRANDE FLORIANOPOLIS,42007
420380,CANOINHAS,PLANALTO NORTE,42012
420325,CAPAO ALTO,SERRA CATARINENSE,42013
420390,CAPINZAL,MEIO OESTE,42008
420395,CAPIVARI DE BAIXO,LAGUNA,42016
420400,CATANDUVAS,MEIO OESTE,42008
420410,CAXAMBU DO SUL,OESTE,42002
420415,CELSO RAMOS,MEIO OESTE,42008
420417,CERRO NEGRO,SERRA CATARINENSE,42013
420419,CHAPADAO DO LAGEADO,ALTO VALE DO ITAJAI,42004
420420,CHAPECO,OESTE,42002
420425,COCAL DO SUL,CARBONIFERA,42015
420430,CONCORDIA,ALTO URUGUAI CATARINENSE,42010
420435,CORDILHEIRA ALTA,OESTE,42002
420440,CORONEL FREITAS,OESTE,42002
420445,CORONEL MARTINS,XANXERE,42003
420455,CORREIA PINTO,SERRA CATARINENSE,42013
420450,CORUPA,VALE DO ITAPOCU,42017
420460,CRICIUMA,CARBONIFERA,42015
420470,CUNHA PORA,OESTE,42002
420475,CUNHATAI,OESTE,42002
420480,CURITIBANOS,ALTO VALE DO RIO DO PEIXE,42009
420490,DESCANSO,EXTREMO OESTE,42001
420500,DIONISIO CERQUEIRA,EXTREMO OESTE,42001
420510,DONA EMMA,ALTO VALE DO ITAJAI,42004
420515,DOUTOR PEDRINHO,MEDIO VALE DO ITAJAI,42006
420517,ENTRE RIOS,XANXERE,42003
420519,ERMO,EXTREMO SUL CATARINENSE,42014
420520,ERVAL VELHO,MEIO OESTE,42008
420530,FAXINAL DOS GUEDES,XANXERE,42003
420535,FLOR DO SERTAO,EXTREMO OESTE,42001
420540,FLORIANOPOLIS,GRANDE FLORIANOPOLIS,42007
420543,FORMOSA DO SUL,OESTE,42002
420545,FORQUILHINHA,CARBONIFERA,42015
420550,FRAIBURGO,ALTO VALE DO RIO DO PEIXE,42009
420555,FREI ROGERIO,ALTO VALE DO RIO DO PEIXE,42009
420560,GALVAO,XANXERE,42003
420570,GAROPABA,GRANDE FLORIANOPOLIS,42007
420580,GARUVA,NORDESTE,42011
420590,GASPAR,MEDIO VALE DO ITAJAI,42006
420600,GOVERNADOR CELSO RAMOS,GRANDE FLORIANOPOLIS,42007
420610,GRAO PARA,LAGUNA,42016
420620,GRAVATAL,LAGUNA,42016
420630,GUABIRUBA,MEDIO VALE DO ITAJAI,42006
420640,GUARACIABA,EXTREMO OESTE,42001
420650,GUARAMIRIM,VALE DO ITAPOCU,42017
420660,GUARUJA DO SUL,EXTREMO OESTE,42001
420665,GUATAMBU,OESTE,42002
420670,HERVAL D'OESTE,MEIO OESTE,42008
420675,IBIAM,ALTO VALE DO RIO DO PEIXE,42009
420680,IBICARE,MEIO OESTE,42008
420690,IBIRAMA,ALTO VALE DO ITAJAI,42004
420700,IÇARA,CARBONIFERA,42015
420710,ILHOTA,FOZ DO RIO ITAJAI,42005
