CO_MUNICIP,CO_MUNICDV,CO_STATUS_municip,CO_TIPO,DS_NOME_municip,DS_NOMEPAD_municip,CO_REGIAO,CO_UF,IN_CAPITAL,IN_AMAZLEG,IN_SEMIAR,IN_FRONTZN,IN_FRONTFX,IN_POBREZA,DT_INSTAL,DT_EXTIN,CO_SUCESS,NU_ORDEM_municip,NU_ORDMAP,NU_LATITUD,NU_LONGIT,NU_ALTITUD,NU_AREA,DS_UF_SIGLA,CO_MACSAUD,CO_STATUS_macsaud,DS_NOME_macsaud,DS_NOMEPAD_macsaud,DS_ABREV_macsaud,NU_ORDEM_macsaud,CO_REGMETR,CO_REGMETR_base,CO_STATUS_regmetr,CO_TIPO_regmetr,DS_NOME_regmetr,DS_NOMEPAD_regmetr,DS_ABREV_regmetr,NU_ORDEM_regmetr
0,0,IGNOR,IGNOR,Ignorado ou exterior,IGNORADO OU EXTERIOR,0,0,,N,N,N,N,,,,,8,,0,0,0,0,IG,0,IGNOR,MUNICIPIO IGNORADO OU EXTERIOR,MUNICIPIO IGNORADO OU EXTERIOR,Ignorado ou exterior,8,0,0,IGNOR,IGNOR,Município ignorado ou exterior,MUNICIPIO IGNORADO OU EXTERIOR,Ignorado ou exterior,8
110000,1100000,IGNOR,IGNOR,Município ignorado - RO,MUNICIPIO IGNORADO - RO,1,11,,S,N,N,N,,,,,8,,0,0,0,0,RO,,,,,,,11000,11000,IGNOR,IGNOR,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Ignorado - RO,8
110001,1100015,ATIVO,MUNIC,Alta Floresta D'Oeste,ALTA FLORESTA D'OESTE,1,11,N,S,N,S,S,N,1986,,,1,1,-11.93554,-61.99982,338,7067025,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110002,1100023,ATIVO,MUNIC,Ariquemes,ARIQUEMES,1,11,N,S,N,N,N,N,1977,,,1,1,-9.90846,-63.03327,139,4426571,RO,1102,ATIVO,MACRORREGIAO I - PORTO VELHO,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110003,1100031,ATIVO,MUNIC,Cabixi,CABIXI,1,11,N,S,N,S,S,N,1989,,,1,1,-13.49976,-60.54431,236,1314352,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110004,1100049,ATIVO,MUNIC,Cacoal,CACOAL,1,11,N,S,N,N,N,N,1977,,,1,1,-11.43387,-61.44294,177,3792998,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110005,1100056,ATIVO,MUNIC,Cerejeiras,CEREJEIRAS,1,11,N,S,N,N,S,N,1983,,,1,1,-13.19503,-60.81843,263,2783.3,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110006,1100064,ATIVO,MUNIC,Colorado do Oeste,COLORADO DO OESTE,1,11,N,S,N,N,S,N,1981,,,1,1,-13.13056,-60.55507,419,1451.06,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110007,1100072,ATIVO,MUNIC,Corumbiara,CORUMBIARA,1,11,N,S,N,N,S,N,1993,,,1,1,-12.99752,-60.9487,269,3060321,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110008,1100080,ATIVO,MUNIC,Costa Marques,COSTA MARQUES,1,11,N,S,N,S,S,N,1981,,,1,1,-12.43601,-64.23165,145,4987177,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110009,1100098,ATIVO,MUNIC,Espigão D'Oeste,ESPIGAO D'OESTE,1,11,N,S,N,N,N,N,1981,,,1,1,-11.52855,-61.02017,263,4518035,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110010,1100106,ATIVO,MUNIC,Guajará-Mirim,GUAJARA-MIRIM,1,11,N,S,N,S,S,S,1943,,,1,1,-10.77388,-65.32395,133,24855724,RO,1102,ATIVO,MACRORREGIAO I - PORTO VELHO,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110011,1100114,ATIVO,MUNIC,Jaru,JARU,1,11,N,S,N,N,N,N,1981,,,1,1,-10.43595,-62.47623,163,2944128,RO,1102,ATIVO,MACRORREGIAO I - PORTO VELHO,MACRORREGIAO I - PORTO VELHO,Macrorregião I - Porto Velho,1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
110012,1100122,ATIVO,MUNIC,Ji-Paraná,JI-PARANA,1,11,N,S,N,N,N,N,1977,,,1,1,-10.88205,-61.94509,157,6896648,RO,1101,ATIVO,MACRORREGIONAL II (CACOAL),MACRORREGIONAL II (CACOAL),Macrorregional II (Cacoal),1,11900,11900,OUTROS,OUTROS,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,Fora de Reg.Metrop. - RO,5
