0-4 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,5-9 anos,50-59 anos,60+ anos,Ano,Código,Região,Região oficial,Sigla,Tipo,Total,UF
130732,307699,327162,328324,263386,137911,196769,182335,2021,11,RegN,N,RO,Estado,1874318,Rondônia
80444,176627,160726,134835,104391,84687,67939,69005,2021,12,RegN,N,AC,Estado,878654,Acre
373305,834463,804726,680211,531505,397534,347422,326680,2021,13,RegN,N,AM,Estado,4295846,Amazonas
47393,109883,107299,89135,64974,50574,44981,40424,2021,14,RegN,N,RR,Estado,554663,Roraima
705787,1619595,1557105,1417223,1110024,756866,755388,788376,2021,15,RegN,N,PA,Estado,8710364,Pará
74453,174740,165412,134119,103207,78402,67809,59492,2021,16,RegN,N,AP,Estado,857634,Amapá
121013,284141,278633,269200,213841,129215,151707,167071,2021,17,RegC,N,TO,Estado,1614821,Tocantins
591673,1390218,1176824,1178837,886545,649245,591313,691776,2021,21,RegC,NE,MA,Estado,7156431,Maranhão
221098,558935,495232,546674,448746,242022,328171,396401,2021,22,RegC,NE,PI,Estado,3237279,Piauí
637232,1503601,1550649,1539948,1220625,677392,954895,1142287,2021,23,RegL,NE,CE,Estado,9226629,Ceará
242949,574934,588142,613347,493255,257391,396678,460462,2021,24,RegL,NE,RN,Estado,3627158,Rio Grande do Norte
282155,672715,628021,686697,570527,307435,434000,538443,2021,25,RegL,NE,PB,Estado,4119993,Paraíba
661338,1586061,1551656,1568393,1365777,709155,1033472,1230036,2021,26,RegL,NE,PE,Estado,9705888,Pernambuco
257679,615741,567087,543726,457527,278423,333446,378974,2021,27,RegL,NE,AL,Estado,3432603,Alagoas
166901,397787,406314,396767,327834,175254,242613,259167,2021,28,RegL,NE,SE,Estado,2372637,Sergipe
1044417,2451160,2410603,2627187,2266681,1126419,1643834,2004241,2021,29,RegL,NE,BA,Estado,15574542,Bahia
1267935,3027532,3292149,3490201,3100569,1353318,2570992,3448730,2021,31,RegS,SE,MG,Estado,21551426,Minas Gerais
256048,603762,664946,689042,599634,272198,482010,610004,2021,32,RegL,SE,ES,Estado,4177644,Espírito Santo
968851,2261265,2626988,2530707,2464121,1012825,2130472,3019505,2021,33,RegL,SE,RJ,Estado,17014734,Rio de Janeiro
2695318,6338336,7111390,7398403,6829298,2823002,5679451,7488375,2021,35,RegS,SE,SP,Estado,46363573,São Paulo
695842,1646404,1811433,1820395,1633492,738393,1438745,1819649,2021,41,RegS,S,PR,Estado,11604353,Paraná
435085,1000683,1195813,1223849,1017509,455517,904363,1118966,2021,42,RegS,S,SC,Estado,7351785,Santa Catarina
632849,1493531,1683824,1750799,1555784,664921,1464309,2196749,2021,43,RegS,S,RS,Estado,11442766,Rio Grande do Sul
193810,443993,454264,456062,389353,206612,315382,368436,2021,50,RegC,CO,MS,Estado,2827912,Mato Grosso do Sul
241705,557166,573915,578097,494675,257143,387290,399738,2021,51,RegC,CO,MT,Estado,3489729,Mato Grosso
443434,1078473,1203341,1176862,1036886,469405,806157,879727,2021,52,RegC,CO,GO,Estado,7094285,Goiás
215095,448360,598185,576952,498989,206266,349702,389242,2021,53,RegC,CO,DF,Estado,3282791,Distrito Federal
1412114,3223007,3122430,2783847,2177487,1505974,1480308,1466312,2021,RegN,,,,Regional,17171479,Regional Norte
4517570,10667026,10994406,11195814,9765981,4816492,7651420,9643119,2021,RegL,,,,Regional,69251828,Regional Leste
2027828,4761286,4780394,4782684,3969035,2159908,2929722,3292391,2021,RegC,,,,Regional,28703248,Regional Centro
5727029,13506486,15094609,15683647,14136652,6035151,12057860,16072469,2021,RegS,,,,Regional,98313903,Regional Sul
13684541,32157805,33991839,34445992,30049155,14517525,24119310,30474291,2021,BR,,,,País,213440458,Brasil
1094044,2527992,2829705,2787973,2419903,1139426,1858531,2037143,2021,CO,,,,Região,16694717,Região Centro-oeste
1533127,3507148,3401063,3053047,2391328,1635189,1632015,1633383,2021,N,,,,Região,18786300,Região Norte
4105442,9751152,9374528,9701576,8037517,4422736,5958422,7101787,2021,NE,,,,Região,58453160,Região Nordeste
1763776,4140618,4691070,4795043,4206785,1858831,3807417,5135364,2021,S,,,,Região,30398904,Região Sul
5188152,12230895,13695473,14108353,12993622,5461343,10862925,14566614,2021,SE,,,,Região,89107377,Região Sudeste
