UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,n.seasons
16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-10.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2
16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-9.0,11.0,4.0,0.0,1.0,1.0,1.0,0.0,2
16,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,1.0,1.0,-8.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2
16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-7.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2
16,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,1.0,1.0,-6.0,11.0,4.0,0.0,1.0,1.0,1.0,0.0,2
16,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-5.0,11.0,4.0,0.0,3.0000000000000004,3.0000000000000004,3.0,0.0,2
16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-4.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2
16,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,1.0,1.0,-3.0,11.0,4.0,0.0,4.999999999999999,4.999999999999999,5.0,0.0,2
16,9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,3.0000000000000004,3.0000000000000004,-2.0,11.0,4.0,0.0,2.0,2.0,2.0,0.0,2
16,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3403473193207156,2.56 vez(es) maior,2.56 vez(es) maior,2.56 vez(es) maior,2.14 vez(es) maior,2.34 vez(es) menor,2.34 vez(es) menor,2.34 vez(es) menor,5,5,1.2991600774816183,10,20,0.0,0.0,0.0,-1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,2
