UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2014 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
13,1,0.0,0.14363948557529194,0.028261464899119286,0.0,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.14363948557529194,0.14363948557529194,3938336,0.0,0.025814825609236338,0.025814825609236338,,0.025814825609236338,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,2,0.0,0.11491158846023355,0.0,0.0,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.11491158846023354,0.11491158846023354,3938336,0.0,0.0,0.0,,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,3,0.0,0.05745579423011678,0.0,0.0,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.05745579423011677,0.05745579423011677,3938336,0.0,0.0,0.0,,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,4,0.0,0.05745579423011678,0.0,0.0,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.05745579423011677,0.05745579423011677,3938336,0.0,0.14363948557529194,0.14363948557529194,0.14363948557529194,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,5,0.0,0.14363948557529194,0.0,0.0,0.026261049008107048,0.0,0.025391434351969968,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.014909069976876117,0.045753506335429794,0.1404100554382695,3938336,0.012606758977064042,0.05446487507174935,0.23530414295840757,0.11491158846023355,0.025814825609236338,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,6,0.0,0.08618369134517517,0.0,0.0,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.08618369134517517,0.08618369134517517,3938336,0.049046881537156355,0.05446487507174935,0.060481370550215234,0.05745579423011678,0.05162965121847268,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,7,0.0,0.17236738269035035,0.0,0.0,0.026261049008107048,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.010643835082895521,0.06727962755716199,0.4252741844435868,3938336,0.0,0.05745579423011677,0.05745579423011677,0.05745579423011678,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,8,0.0,0.14363948557529194,0.0,0.0,0.0,0.0,0.0,0.025391434351969968,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.14363948557529194,0.14363948557529194,3938336,0.1226172038428909,0.13616218767937338,0.1512034263755381,0.14363948557529194,0.12907412804618168,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,9,0.0,0.17236738269035035,0.0,0.055695025181113265,0.0,0.0,0.025391434351969968,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.02101440861743281,0.06246732500058991,0.18569005503643943,3938336,0.07357032230573451,0.08169731260762404,0.09072205582532292,0.08618369134517517,0.07744447682770901,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,10,0.0,0.17236738269035035,0.0,0.0,0.0,0.025814825609236338,0.0,0.025391434351969968,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.010377262830679749,0.06670557641510863,0.42878685810258416,3938336,0.11234295317344886,0.14915820334248964,0.198037963182346,0.17236738269035035,0.12907412804618168,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
