UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
29,1,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.9690903312758369,1.8171205928321397,3.4072440332239613,-16.0,17.0,10.0,1.6463014561568918,2.449489742783178,3.6445330091648795,,2.0,3.0,,,5
29,2,0.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.9450559500263782,2.8844991406148166,4.2776842959683385,-15.0,17.0,10.0,0.7603879490056429,2.519842099789746,8.350479799392083,,8.0,1.0,2.0,,5
29,3,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.0004225010313728,2.2894284851066637,5.239269191780627,-14.0,17.0,10.0,0.9427791706619021,2.620741394208897,7.285147645442716,,1.0,6.0,3.0,,5
29,4,0.0,1.0,1.0,0.0,1.0,3.0,10.0,5.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.797940889371713,2.340347319320716,6.864199651886934,-13.0,17.0,10.0,2.613081233824818,3.464101615137755,4.592279736529799,,0.0,4.0,3.0,,5
29,5,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.9690903312758369,1.8171205928321397,3.4072440332239613,-12.0,17.0,10.0,1.7566405623564756,2.2894284851066637,2.9838106330566094,,2.0,2.0,3.0,,5
29,6,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,4.0,4.0,4.0,-11.0,17.0,10.0,0.7169865733836742,1.414213562373095,2.789452514516975,,0.0,2.0,1.0,,5
29,7,0.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.8421350347244184,1.7782794100389228,3.7550719656298446,-10.0,17.0,10.0,0.5140697464124628,2.0,7.7810453307450755,0.0,0.0,1.0,4.0,,5
29,8,0.0,1.0,0.0,0.0,3.0,3.0,11.0,7.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.2065457084501667,3.1543421455299048,8.246578891608694,-9.0,17.0,10.0,0.5140697464124628,2.0,7.7810453307450755,0.0,1.0,8.0,1.0,,5
29,9,0.0,2.0,0.0,3.0,2.0,2.0,10.0,12.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.6246165613664154,2.9925557394776896,5.512309837804902,-8.0,17.0,10.0,0.7682369555698564,1.3160740129524926,2.254578870504988,1.0,1.0,1.0,3.0,,5
29,10,0.0,3.0,0.0,3.0,4.0,4.0,10.0,25.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,2.7737789771800654,4.282254736676648,6.611091143401927,-7.0,17.0,10.0,0.9690903312758369,1.8171205928321397,3.4072440332239613,1.0,0.0,3.0,2.0,,5
29,11,0.0,5.0,2.0,4.0,4.0,3.0,7.0,28.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,3.3510494095507966,4.416333444896913,5.820266642719994,-6.0,17.0,10.0,0.8880925783341734,3.634241185664279,14.871995688053909,0.0,1.0,12.0,4.0,,5
29,12,0.0,7.0,3.0,2.0,3.0,7.0,24.0,18.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,2.5458728359643534,5.884529094227095,13.601497361390598,-5.0,17.0,10.0,1.832513219822243,5.0132979349645845,13.715129535140889,0.0,0.0,14.0,3.0,3.0,5
29,13,0.0,9.0,0.0,8.0,3.0,3.0,15.0,34.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,3.3560980225826587,6.273837315547639,11.72821365678349,-4.0,17.0,10.0,1.5648130796236968,3.545174406810488,8.031797368236779,2.0,1.0,10.0,7.0,4.0,5
29,14,0.0,16.0,1.0,1.0,1.0,4.0,14.0,49.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.188790859214806,3.894588722460672,12.759032591431739,-3.0,17.0,10.0,1.114174791581881,2.550849001251582,5.840044736560534,1.0,1.0,9.0,3.0,4.0,5
29,15,0.0,15.0,0.0,0.0,6.0,7.0,11.0,62.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,6.048249740597711,9.123958655817642,13.76375399882924,-2.0,17.0,10.0,2.4451577096677988,5.678823028867355,13.188937002176264,2.0,0.0,13.0,4.0,10.0,5
29,16,0.0,8.0,0.0,2.0,4.0,9.0,2.0,55.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,2.1713000565793132,4.095345022158439,7.724335841882875,-1.0,17.0,10.0,2.8394060717905187,4.409333520524795,6.847284820717239,3.0,0.0,6.0,7.0,3.0,5
29,17,0.0,5.0,0.0,0.0,2.0,11.0,4.0,60.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,2.300942195060559,4.579975650961807,9.116342430693246,0.0,17.0,10.0,4.344769813011055,5.752652095513641,7.616745548386843,5.0,5.0,7.0,9.0,4.0,5
29,18,0.0,6.0,2.0,0.0,2.0,16.0,5.0,61.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,2.4142955858377846,5.566315367427482,12.833501809558923,1.0,17.0,10.0,3.9641526766271244,6.046944809955075,9.224049757274786,7.0,3.0,7.0,11.0,5.0,5
29,19,1.0,9.0,4.0,1.0,1.0,12.0,1.0,55.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.8261086394079238,2.550849001251582,7.876482966997742,2.0,17.0,10.0,6.022171282851662,9.619482395525665,15.365627646846104,9.0,4.0,13.0,16.0,11.0,5
29,20,0.0,4.0,0.0,1.0,8.0,7.0,5.0,58.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.9653000181436955,4.072336009280796,8.438365857315368,3.0,17.0,10.0,7.832826603582594,12.0441188375558,18.51959783034368,16.0,6.0,22.0,12.0,10.0,5
29,21,0.0,3.0,1.0,0.0,1.0,16.0,2.0,57.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,0.986308229742938,3.1301691601465746,9.933972642290897,4.0,17.0,10.0,5.674585498857233,8.185617909832976,11.807794697828049,15.0,5.0,7.0,7.0,10.0,5
29,22,1.0,4.0,3.0,1.0,3.0,11.0,4.0,53.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,1.6525790354127492,3.5036989621017653,7.428332414955846,5.0,17.0,10.0,7.653598004494171,10.3098007576413,13.887846160700727,8.0,10.0,13.0,16.0,7.0,5
29,23,1.0,4.0,0.0,0.0,12.0,7.0,6.0,36.0,18.999897175857782,4.11 vez(es) maior,1.19 vez(es) menor,4.75 vez(es) menor,1.46 vez(es) menor,1.63 vez(es) maior,1.19 vez(es) menor,1.26 vez(es) maior,8.810404421716456,10.063363220153263,6.124626249043762,15.910668469637756,24.262864678148325,4.2921122213263585,6.700737917669015,10.46102392621324,6.0,17.0,10.0,5.875109205849288,11.96788410994828,24.379163867550204,5.0,6.0,31.0,11.0,24.0,5
