UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
BR,1,0.0,309.0,36.0,71.0,69.0,96.0,66.0,67.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,55.98662228799111,99.1690647527756,175.65809477400208,-15.0,16.0,12.0,73.13835833514581,97.35449588076767,129.58860554084808,,69.0,89.0,138.0,106.0,5
BR,2,0.0,240.0,31.0,47.0,83.0,138.0,106.0,98.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,62.72554508254309,106.49137355907946,180.7941665166257,-14.0,16.0,12.0,62.02501472728649,94.98756863462646,145.4677316045613,,50.0,106.0,128.0,120.0,5
BR,3,0.0,159.0,27.0,56.0,77.0,128.0,120.0,90.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,69.78373207853156,101.04001881970302,146.29606498541926,-13.0,16.0,12.0,91.37566217185712,110.26802705625065,133.06648074417896,,85.0,118.0,134.0,110.0,5
BR,4,0.0,174.0,22.0,40.0,88.0,134.0,110.0,99.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,59.95993423631837,97.97558810888135,160.09383578454336,-12.0,16.0,12.0,91.26833115147085,107.58837342610289,126.82666539902017,,90.0,134.0,110.0,101.0,5
BR,5,0.0,177.0,23.0,53.0,107.0,110.0,101.0,119.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,70.09472437113915,102.20435328890787,149.02305308878314,-11.0,16.0,12.0,115.95212716461532,119.21397272063813,122.56757714897762,,118.0,124.0,116.0,119.0,5
BR,6,0.0,180.0,23.0,57.0,89.0,116.0,119.0,102.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,72.27429211524657,104.73900975958308,151.78647682809776,-10.0,16.0,12.0,123.4473107180292,142.80109799670518,165.18912781861326,,133.0,172.0,149.0,122.0,5
BR,7,0.0,159.0,33.0,69.0,106.0,149.0,122.0,189.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,86.77403148449005,116.15011279392805,155.47103748952307,-9.0,16.0,12.0,144.6066117699767,156.61095151144588,169.61181672892747,,147.0,169.0,145.0,167.0,5
BR,8,0.0,294.0,37.0,50.0,118.0,145.0,167.0,184.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,75.7588922129587,133.24679236039572,234.35806881159002,-8.0,16.0,12.0,130.24395203787367,179.10780582311423,246.3039980347184,309.0,115.0,152.0,195.0,175.0,5
BR,9,0.0,396.0,30.0,85.0,134.0,195.0,175.0,266.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,105.41917442581003,172.7660142161443,283.1372549700522,-7.0,16.0,12.0,134.72261272472085,176.51289726717397,231.26632026736826,240.0,137.0,236.0,122.0,181.0,5
BR,10,0.0,568.0,37.0,90.0,124.0,122.0,181.0,447.0,847.7662095423108,13.27 vez(es) maior,1.28 vez(es) menor,4.02 vez(es) menor,1.48 vez(es) maior,1.82 vez(es) maior,1.27 vez(es) menor,1.65 vez(es) menor,350.34910352324687,446.67382331074236,438.6404688327546,979.8793689621364,1397.8351459227752,90.18910163085916,169.51580140963398,318.61506998001045,-6.0,16.0,12.0,160.48774941867336,208.9581919320017,272.06765708692063,159.0,157.0,310.0,198.0,260.0,5
