UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
32,1,0.0,0.0,0.0,0.0,0.07813790089301202,0.07721910328544118,0.02544586887591093,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.02582688988854707,0.053546932032573394,0.11101893965841109,3973697,0.0,0.02573970109514707,0.02573970109514707,0.0,0.025739701095147064,,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,2,0.0,0.0,0.0,0.0,0.026045966964337343,0.05147940219029413,0.02544586887591093,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.020620235280558216,0.03243374429312403,0.05101531357712413,3973697,0.0,0.05147940219029412,0.05147940219029412,0.0,0.05147940219029413,,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,3,0.0,0.0,0.08009446875608217,0.0,0.0,0.025739701095147064,0.0,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.014927010719137447,0.045404930185566315,0.13811256144627998,3973697,0.0,0.0,0.0,0.0,0.0,,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,4,0.0,0.0,0.026698156252027396,0.0,0.0,0.05147940219029413,0.0,0.025165481917720448,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.019481093808321397,0.037072970253776996,0.07055071634891226,3973697,0.014935314816494193,0.0443272735109747,0.13156114893184334,0.0,0.07721910328544118,0.02544586887591093,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.0,0.0,0.0,3973697,0.013009063622748902,0.05118472658800682,0.20138853278476115,0.0,0.10295880438058826,0.02544586887591093,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,6,0.0,0.0,0.0,0.0,0.0,0.07721910328544118,0.02544586887591093,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.014935314816494193,0.0443272735109747,0.13156114893184334,3973697,0.0,0.0,0.0,0.0,0.0,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,7,0.0,0.0,0.0,0.0,0.0,0.10295880438058826,0.0,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.0,0.10295880438058826,0.10295880438058826,3973697,0.0,0.10295880438058826,0.10295880438058826,0.0,0.10295880438058826,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.0,0.0,0.0,3973697,0.0,0.05147940219029412,0.05147940219029412,0.0,0.05147940219029413,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,9,0.0,0.0,0.0,0.0,0.0,0.10295880438058826,0.0,0.050330963835440896,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.0,0.10295880438058826,0.10295880438058826,3973697,0.0,0.025445868875910934,0.025445868875910934,0.0,0.0,0.02544586887591093,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
32,10,0.0,0.0,0.0,0.026365231220441283,0.0,0.05147940219029413,0.0,0.050330963835440896,,0.12582740958860225,,,,,,0.09294373264182654,0.07040088743910367,0.2516548191772045,0.503309638354409,0.019122642257184824,0.03684109582839789,0.07097692481943699,3973697,0.04213540773236274,0.06342312217461947,0.09546584791410886,0.07813790089301202,0.05147940219029413,0.0,3,0.12148944664172757,19.18 vez(es) maior,1.12 vez(es) menor,1.52 vez(es) menor,1.54 vez(es) menor,2.36 vez(es) maior,1.06 vez(es) maior,1.05 vez(es) maior
