UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
52,1,0.0,7.0,1.0,1.0,1.0,3.0,2.0,0.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,0.9883554671095305,1.8644105355008187,3.5169802369305185,-20.0,21.0,7.0,5.57208838876441,6.4807406984078595,7.537568873582304,,7.0,6.0,,,5
52,2,0.0,5.0,1.0,1.0,1.0,3.0,0.0,3.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,0.8803434632772429,1.7187719275874789,3.3557095182660897,-19.0,21.0,7.0,2.7103084845443024,6.0,13.282620854892413,,4.0,9.0,,,5
52,3,0.0,6.0,1.0,1.0,2.0,3.0,7.0,2.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.275955579490229,2.51323687655111,4.950297407829743,-18.0,21.0,7.0,1.0,1.0,1.0,,1.0,1.0,,,5
52,4,0.0,5.0,1.0,0.0,2.0,3.0,6.0,2.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.4982342053396185,2.825234500494767,5.32757158683116,-17.0,21.0,7.0,2.0,2.0,2.0,,2.0,2.0,,,5
52,5,0.0,9.0,0.0,3.0,4.0,7.0,10.0,5.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,3.77261911867352,5.966290000837807,9.435518204820323,-16.0,21.0,7.0,1.9987447998262813,3.350368958834508,5.616010688957105,,7.0,3.0,3.0,2.0,5
52,6,0.0,10.0,0.0,0.0,0.0,5.0,8.0,6.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,4.937071836732661,7.368062997280774,10.99606287435064,-15.0,21.0,7.0,1.8764881605657142,4.890973246508749,12.748078991797405,,13.0,3.0,3.0,0.0,5
52,7,0.0,8.0,2.0,3.0,5.0,2.0,6.0,0.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,2.3598828742297386,3.7719455481170785,6.028931932735899,-14.0,21.0,7.0,2.722759460827433,5.1307790014944485,9.668460817385741,,11.0,3.0,3.0,7.0,5
52,8,0.0,5.0,1.0,2.0,6.0,6.0,2.0,6.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.6525449158875272,2.993795165523909,5.423640475333586,-13.0,21.0,7.0,3.6022759493449565,5.421612021659069,8.159807112706943,,8.0,6.0,3.0,6.0,5
52,9,0.0,4.0,3.0,3.0,9.0,5.0,6.0,4.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,3.2819287815759255,4.619670965224729,6.502688280972577,-12.0,21.0,7.0,6.794761784630093,8.568349862833019,10.804884953874419,,11.0,7.0,7.0,10.0,5
52,10,0.0,12.0,2.0,2.0,1.0,2.0,7.0,6.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.4044903545883678,2.959567245354594,6.236453138436043,-11.0,21.0,7.0,4.228849435816879,6.160140576482046,8.973441239269457,,4.0,9.0,5.0,8.0,5
52,11,0.0,22.0,2.0,2.0,2.0,6.0,2.0,3.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.6196879324248725,3.581918106264199,7.921363778252648,-10.0,21.0,7.0,3.2152682478117263,5.122780117711828,8.161955430090229,7.0,6.0,7.0,2.0,6.0,5
52,12,0.0,17.0,3.0,4.0,3.0,5.0,4.0,13.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,2.85495586868098,4.800615278297329,8.072246335936953,-9.0,21.0,7.0,2.5488652684148576,3.7279192731913513,5.452380037362404,5.0,3.0,4.0,6.0,2.0,5
52,13,0.0,26.0,1.0,3.0,3.0,14.0,3.0,64.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,1.781819279342526,4.6281865720565625,12.021483432185383,-8.0,21.0,7.0,4.392791065553995,5.908353878125555,7.946803075360654,6.0,4.0,10.0,5.0,6.0,5
52,14,0.0,29.0,3.0,3.0,3.0,6.0,8.0,86.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,2.829686858503188,5.7876265454805,11.837571683698306,-7.0,21.0,7.0,3.1949344570235514,5.470653596755838,9.367344206359403,5.0,7.0,10.0,2.0,7.0,5
52,15,0.0,21.0,1.0,7.0,6.0,8.0,3.0,121.0,18.380020060548947,10.77 vez(es) maior,1.58 vez(es) maior,2.63 vez(es) menor,1.14 vez(es) maior,1.08 vez(es) menor,1.52 vez(es) maior,1.03 vez(es) menor,12.655048933793843,9.112453555240972,9.636257872919005,17.508402607587954,22.79669078100411,2.3143723196245145,5.259526380991988,11.9525356909033,-6.0,21.0,7.0,3.4613705179383127,6.457901535088866,12.04854898392775,9.0,13.0,8.0,6.0,2.0,5
