UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2013 transladado,SRAG2014 transladado,n.seasons
21,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,0.0,0.0,-16.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2
21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,0.0,0.0,-15.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2
21,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,2.0,2.0,-14.0,17.0,4.0,0.0,1.0,1.0,1.0,0.0,2
21,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,1.0,1.0,-13.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2
21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,0.0,0.0,-12.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2
21,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,2.0,2.0,-11.0,17.0,4.0,0.0,1.0,1.0,0.0,1.0,2
21,7,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.5140697464124628,2.0,7.7810453307450755,-10.0,17.0,4.0,0.0,1.0,1.0,1.0,0.0,2
21,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,1.0,1.0,-9.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2
21,9,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.0,2.0,2.0,-8.0,17.0,4.0,0.0,1.0,1.0,0.0,1.0,2
21,10,0.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,5.1800401282227035,2.70 vez(es) maior,4.83 vez(es) maior,5.18 vez(es) menor,1.73 vez(es) menor,1.16 vez(es) maior,1.93 vez(es) maior,1.30 vez(es) menor,5,5,1.5603183158954568,10,20,0.7169865733836742,1.414213562373095,2.789452514516975,-7.0,17.0,4.0,0.0,1.0,1.0,0.0,1.0,2
