UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,n.seasons
31,1,0.0,9.0,0.0,38.0,33.0,21.0,8.0,3.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,10.74940983471448,21.424056478027836,42.699106558524655,-20.0,21.0,10.0,27.25607755235328,30.935416596516042,35.11143517117609,33.0,29.0,,3
31,2,0.0,7.0,2.0,26.0,21.0,40.0,16.0,8.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,5.308004912546155,14.75300611654024,41.004330828750184,-19.0,21.0,10.0,27.486262038088945,32.86335345030996,39.29235625067516,36.0,30.0,,3
31,3,0.0,4.0,1.0,24.0,22.0,40.0,9.0,12.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,3.1590318344669024,11.370702179088104,40.92800415458225,-18.0,21.0,10.0,24.533771300517312,25.495097567963924,26.494092246889668,25.0,26.0,,3
31,4,0.0,9.0,3.0,23.0,29.0,34.0,12.0,9.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,6.386327066788389,15.218836465797711,36.267009338932844,-17.0,21.0,10.0,33.969234184194114,42.70831300812524,53.69564677583184,38.0,48.0,,3
31,5,0.0,8.0,0.0,29.0,30.0,26.0,12.0,12.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,14.932942194213442,22.825403398542992,34.889242423245065,-16.0,21.0,10.0,31.707168228412794,38.79432948254164,47.465607434831384,43.0,35.0,,3
31,6,0.0,8.0,2.0,33.0,26.0,29.0,12.0,4.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,5.135679185316066,14.296156886699514,39.796119335781235,-15.0,21.0,10.0,38.074986523231736,39.98749804626441,41.99607527173669,41.0,39.0,,3
31,7,0.0,8.0,3.0,36.0,48.0,37.0,13.0,13.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,6.961913844703485,19.026636180016663,51.9990468715916,-14.0,21.0,10.0,39.39255954443999,44.899888641287305,51.17717719575158,48.0,42.0,,3
31,8,0.0,14.0,3.0,25.0,35.0,37.0,21.0,25.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,7.364088307359696,18.277216881768297,45.36293469068515,-13.0,21.0,10.0,43.124708874214626,53.66563145999496,66.78305953091375,60.0,48.0,,3
31,9,0.0,17.0,2.0,38.0,39.0,64.0,33.0,12.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,6.793083944801256,22.872541414744262,77.01261386142008,-12.0,21.0,10.0,20.718603586530744,29.13767277471135,40.97785698637027,38.0,31.0,21.0,3
31,10,0.0,11.0,0.0,43.0,42.0,33.0,19.0,14.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,22.485621698559772,32.6209287522334,47.324686278362755,-11.0,21.0,10.0,34.171583810000214,43.338592392620185,54.9647801230687,55.0,37.0,40.0,3
31,11,0.0,15.0,3.0,41.0,48.0,53.0,42.0,26.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,9.082712447649063,26.529819901003567,77.49131639214914,-10.0,21.0,10.0,40.26259913598489,57.801940365011895,82.98183380253509,68.0,71.0,40.0,3
31,12,0.0,19.0,0.0,48.0,31.0,54.0,22.0,25.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,24.32955264826974,36.463205324115386,54.648162328753386,-9.0,21.0,10.0,34.28101097938331,51.292437584324304,76.7455240723222,63.0,63.0,34.0,3
31,13,0.0,14.0,6.0,60.0,37.0,64.0,22.0,117.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,12.161322900920837,28.48533792611425,66.72090556065113,-8.0,21.0,10.0,22.851211140857682,38.18835385956277,63.81939064471158,34.0,63.0,26.0,3
31,14,0.0,23.0,2.0,38.0,71.0,60.0,34.0,174.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,7.134288076786074,25.605922204204408,91.90310860325366,-7.0,21.0,10.0,26.389361599131313,47.28229085243611,84.71652562932616,45.0,81.0,29.0,3
31,15,0.0,20.0,7.0,55.0,63.0,79.0,43.0,268.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,16.290033199052058,38.298288395213305,90.0402642573057,-6.0,21.0,10.0,34.07486481369993,52.89572472694208,82.11207028071617,50.0,80.0,37.0,3
31,16,0.0,24.0,3.0,68.0,63.0,60.0,37.0,258.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,9.682875938670158,30.978810515737667,99.11174190896239,-5.0,21.0,10.0,33.24148122991351,52.61209608708048,83.27043658287039,48.0,82.0,37.0,3
31,17,1.0,17.0,6.0,63.0,81.0,83.0,41.0,314.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,15.310085504795055,40.13911137407485,105.23443918035468,-4.0,21.0,10.0,58.45364895375253,63.86952585519649,69.7871973090182,59.0,69.0,64.0,3
31,18,0.0,23.0,4.0,34.0,80.0,78.0,43.0,308.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,11.076208459991085,32.541561657054054,95.60611276908949,-3.0,21.0,10.0,31.991879406157857,55.64098560043349,96.77203515563825,60.0,87.0,33.0,3
31,19,2.0,17.0,5.0,45.0,82.0,106.0,43.0,258.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,13.38286086885417,38.45511710895272,110.49924574086084,-2.0,21.0,10.0,48.26452704536945,66.75203508129036,92.3210991647191,61.0,92.0,53.0,3
31,20,0.0,15.0,5.0,50.0,69.0,74.0,54.0,214.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,13.724492730240474,36.95582618292911,99.51064244827205,-1.0,21.0,10.0,44.70200207733736,81.97183248283409,150.3149972783959,68.0,150.0,54.0,3
31,21,2.0,13.0,8.0,48.0,87.0,85.0,53.0,158.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,18.293128678064758,43.20251746724693,102.03052459505412,0.0,21.0,10.0,46.21802936943821,89.83475852802385,174.6133262255627,64.0,177.0,64.0,3
