UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
15,1,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.0,4.0,4.0,-13.0,14.0,9.0,1.0092931998469616,1.5874010519681994,2.496640322328366,,2.0,2.0,1.0,4
15,2,0.0,11.0,1.0,0.0,1.0,2.0,1.0,2.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.8010765435907086,1.2599210498948732,1.9815847370251365,-12.0,14.0,9.0,0.0,3.0000000000000004,3.0000000000000004,,0.0,0.0,3.0,4
15,3,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.5901880199032414,1.7320508075688774,5.083125883327548,-11.0,14.0,9.0,0.5901880199032414,1.7320508075688774,5.083125883327548,0.0,1.0,3.0,0.0,4
15,4,0.0,4.0,1.0,0.0,2.0,3.0,0.0,2.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,1.6463014561568918,2.449489742783178,3.6445330091648795,-10.0,14.0,9.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4
15,5,0.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.0,2.0,2.0,-9.0,14.0,9.0,0.0,3.0000000000000004,3.0000000000000004,0.0,0.0,0.0,3.0,4
15,6,0.0,11.0,1.0,0.0,1.0,0.0,3.0,1.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.5901880199032414,1.7320508075688774,5.083125883327548,-8.0,14.0,9.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,4
15,7,0.0,16.0,0.0,0.0,0.0,4.0,0.0,4.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.0,4.0,4.0,-7.0,14.0,9.0,2.9126425882995286,6.782422886028333,15.793650889303775,0.0,13.0,8.0,3.0,4
15,8,0.0,63.0,0.0,0.0,0.0,8.0,3.0,3.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,1.8735441598132399,4.898979485566356,12.809946258428402,-6.0,14.0,9.0,2.736165476616654,3.301927248894627,3.9846725829149663,0.0,4.0,3.0,3.0,4
15,9,0.0,92.0,1.0,0.0,4.0,3.0,3.0,2.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,2.736165476616654,3.301927248894627,3.9846725829149663,-5.0,14.0,9.0,1.7566405623564756,2.2894284851066637,2.9838106330566094,0.0,3.0,2.0,2.0,4
15,10,0.0,91.0,0.0,1.0,13.0,2.0,2.0,3.0,21.255503153969354,10.96 vez(es) maior,4.33 vez(es) maior,10.63 vez(es) menor,1.52 vez(es) menor,3.81 vez(es) maior,1.42 vez(es) menor,1.77 vez(es) menor,7.593910953178037,7.595856501821705,6.109846301308468,22.41151362111919,39.8060756258264,0.9128562025486344,2.68534961428265,7.899494499566366,-4.0,14.0,9.0,3.724345395257369,4.308869380063767,4.985132517003863,0.0,4.0,5.0,4.0,4
