UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
AfAmN,1,0.0,16.0,1.0,0.0,0.0,7.0,2.0,2.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,1.0961932709635702,3.741657386773941,12.771470479556754,-12.0,13.0,11.0,1.0092931998469616,1.5874010519681994,2.496640322328366,,1.0,2.0,2.0,4
AfAmN,2,0.0,17.0,1.0,0.0,3.0,5.0,4.0,4.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,2.929969881341026,3.9148676411688634,5.230834878362768,-11.0,13.0,11.0,1.991602281989322,3.419951893353394,5.872694090894887,,2.0,5.0,4.0,4
AfAmN,3,0.0,5.0,0.0,1.0,3.0,2.0,12.0,5.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,1.0438949153336312,2.9129506302439405,8.128482330548238,-10.0,13.0,11.0,0.6759267650779214,2.8844991406148166,12.309521862547406,0.0,1.0,2.0,12.0,4
AfAmN,4,0.0,8.0,1.0,1.0,4.0,5.0,5.0,5.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,1.4800819351307115,3.162277660168379,6.75638271276979,-9.0,13.0,11.0,0.0,4.999999999999999,4.999999999999999,0.0,0.0,0.0,5.0,4
AfAmN,5,0.0,21.0,0.0,0.0,1.0,2.0,7.0,4.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,0.7894890320953268,2.4101422641752297,7.3576522249422736,-8.0,13.0,11.0,1.4879576262127272,3.4397906282503925,7.951946586217929,1.0,4.0,5.0,7.0,4
AfAmN,6,0.0,15.0,1.0,0.0,2.0,0.0,5.0,5.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,1.2883265518288187,3.162277660168379,7.762007222318512,-7.0,13.0,11.0,1.6336896401894418,5.7326567532262,20.116032226597913,1.0,18.0,12.0,5.0,4
AfAmN,7,0.0,25.0,0.0,0.0,1.0,5.0,7.0,7.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,1.0082581294837971,3.2710663101885897,10.612237573654738,-6.0,13.0,11.0,6.601788796358069,10.163963568148533,15.6482066605403,0.0,10.0,15.0,7.0,4
AfAmN,8,0.0,71.0,1.0,1.0,0.0,12.0,6.0,4.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,0.9748550864929089,4.160167646103808,17.753402616948648,-5.0,13.0,11.0,4.59827180833695,6.463304070095651,9.084782553909847,0.0,5.0,9.0,6.0,4
AfAmN,9,0.0,104.0,1.0,2.0,4.0,15.0,5.0,6.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,2.181731177218052,4.949232003839765,11.227275699046242,-4.0,13.0,11.0,5.003454983269732,7.113786608980125,10.1142031031194,0.0,9.0,8.0,5.0,4
AfAmN,10,0.0,104.0,0.0,3.0,18.0,9.0,4.0,6.0,31.296065562135553,9.87 vez(es) maior,3.55 vez(es) maior,3.91 vez(es) menor,1.74 vez(es) menor,2.72 vez(es) maior,1.05 vez(es) maior,1.65 vez(es) menor,13.733122681297303,13.338649791334282,12.046379379145893,32.587642232680494,50.59180191745197,2.998071536267778,6.640091518201929,14.706392037924727,-3.0,13.0,11.0,1.503575728721906,3.8336586254776353,9.77465795433663,1.0,6.0,9.0,4.0,4
