UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
AsBSh,1,0.0,50.0,2.0,3.0,9.0,19.0,14.0,12.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,5.232303942488405,12.913473659829556,31.87081710008694,-14.0,15.0,12.0,16.347147833601642,19.8997487421324,24.224409299463243,,22.0,18.0,,4
AsBSh,2,0.0,50.0,3.0,2.0,6.0,18.0,35.0,19.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,4.090911453610455,13.04663041812613,41.60798081243002,-13.0,15.0,12.0,12.020357655471276,24.39262183530094,49.499359091796705,,35.0,17.0,,4
AsBSh,3,0.0,17.0,3.0,5.0,6.0,17.0,24.0,6.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,6.265186354326177,11.5783338491223,21.39725893854105,-12.0,15.0,12.0,19.497511962163,29.79932885150268,45.54427260889793,,37.0,24.0,,4
AsBSh,4,0.0,22.0,3.0,4.0,12.0,24.0,25.0,19.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,7.317207175007084,14.466485421564302,28.600966932732753,-11.0,15.0,12.0,10.970190751104111,18.049247851450172,29.69641598714138,,30.0,14.0,14.0,4
AsBSh,5,0.0,11.0,3.0,6.0,30.0,14.0,16.0,15.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,8.068991979089391,13.470466672010305,22.487749750151313,-10.0,15.0,12.0,14.980247270055118,24.784819881123706,41.00648577194579,,29.0,15.0,35.0,4
AsBSh,6,0.0,14.0,4.0,1.0,24.0,15.0,18.0,12.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,3.1568668248071052,9.807100104307473,30.466667678255487,-9.0,15.0,12.0,21.78947443569991,32.449895631373835,48.32588916242168,50.0,42.0,22.0,24.0,4
AsBSh,7,0.0,12.0,2.0,8.0,21.0,22.0,12.0,34.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,9.608769534114234,13.970723290308433,20.3128099348632,-8.0,15.0,12.0,18.920009147139876,30.363702767108105,48.72906976731877,50.0,40.0,17.0,25.0,4
AsBSh,8,0.0,19.0,0.0,2.0,26.0,17.0,44.0,26.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,5.29231514729471,14.918724996784732,42.05500793796465,-7.0,15.0,12.0,13.981241417076058,22.11886785632259,34.992909474255974,17.0,44.0,20.0,16.0,4
AsBSh,9,0.0,18.0,2.0,12.0,29.0,20.0,39.0,52.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,14.635408122790716,21.766533539018667,32.37231092773124,-6.0,15.0,12.0,15.236396654811418,24.31033495733352,38.78819901627632,22.0,49.0,18.0,18.0,4
AsBSh,10,0.0,35.0,0.0,12.0,22.0,18.0,29.0,61.0,71.53166056299133,17.39 vez(es) maior,1.35 vez(es) menor,5.96 vez(es) menor,2.04 vez(es) menor,1.41 vez(es) maior,1.43 vez(es) maior,1.37 vez(es) maior,54.11108540951146,65.34872760121708,50.61194201032544,98.03162265328041,131.30093783963474,15.051253213504772,21.710433479506047,31.31585889772577,-5.0,15.0,12.0,9.367048149445447,23.953423618151785,61.25371556508975,11.0,86.0,29.0,12.0,4
