UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
Aw,1,0.0,17.0,3.0,3.0,7.0,12.0,5.0,7.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,4.01791017194333,7.34791110037378,13.437781142051312,-15.0,16.0,12.0,3.5849328669183707,7.071067811865476,13.947262572584885,,5.0,10.0,,,5
Aw,2,0.0,12.0,1.0,1.0,9.0,9.0,4.0,9.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,2.153342790710986,5.223303379776746,12.670020915796211,-14.0,16.0,12.0,3.0560182897719574,7.55952629936924,18.699638697227662,,3.0,12.0,12.0,,5
Aw,3,0.0,9.0,3.0,6.0,6.0,10.0,9.0,14.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,6.304450092005871,7.815513254092055,9.688751046239817,-13.0,16.0,12.0,6.8488368469946,8.849344009597905,11.434188191323413,,7.0,11.0,9.0,,5
Aw,4,0.0,12.0,1.0,0.0,9.0,10.0,9.0,8.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,8.692880935439113,9.92925275894062,11.341471381368889,-12.0,16.0,12.0,6.041042582725708,8.434326653017493,11.775759749355048,,10.0,6.0,10.0,,5
Aw,5,0.0,13.0,3.0,4.0,9.0,17.0,16.0,17.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,6.2362810306573735,10.494528986260363,17.660387352981346,-11.0,16.0,12.0,5.8890235801201625,8.745587041696618,12.98777151480367,,9.0,13.0,10.0,5.0,5
Aw,6,0.0,12.0,2.0,0.0,3.0,13.0,12.0,25.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,4.327594452213219,8.656787855826247,17.316774205229642,-10.0,16.0,12.0,1.5244333608397478,6.355943655622531,26.500351403484572,,1.0,24.0,17.0,4.0,5
Aw,7,0.0,10.0,7.0,4.0,10.0,13.0,15.0,14.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,6.05917272338336,9.51522189606235,14.942542796625935,-9.0,16.0,12.0,6.542181046638865,8.915483598602526,12.149747497096184,,6.0,9.0,13.0,9.0,5
Aw,8,0.0,15.0,5.0,2.0,12.0,18.0,10.0,13.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,4.240575977674393,9.168852814894793,19.824632876241605,-8.0,16.0,12.0,9.753236232671982,13.309778117591186,18.163221859230756,17.0,10.0,21.0,13.0,9.0,5
Aw,9,0.0,17.0,5.0,7.0,11.0,16.0,9.0,11.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,8.154992921879183,11.351687520514904,15.801461852614333,-7.0,16.0,12.0,13.804180436680358,16.529068899718123,19.791839142123724,12.0,17.0,21.0,18.0,16.0,5
Aw,10,0.0,33.0,7.0,3.0,6.0,7.0,23.0,24.0,64.94888422311655,5.08 vez(es) maior,1.48 vez(es) maior,7.22 vez(es) menor,1.05 vez(es) menor,1.26 vez(es) maior,1.14 vez(es) maior,2.03 vez(es) menor,25.433336325630645,28.983073683284232,28.93180419067455,59.84853520476876,82.52405772613368,4.145043529543604,9.911113832897618,23.69822577459646,-6.0,16.0,12.0,10.635584549887751,15.96389996557183,23.961645071353786,9.0,20.0,30.0,16.0,12.0,5
