UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
24,1,0.0,41.0,0.0,1.0,2.0,2.0,1.0,0.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.955420099666187,1.414213562373095,2.0933199968252474,-16.0,17.0,10.0,0.9128275668461469,2.0,4.381988609108453,1.0,4.0,2.0,,4
24,2,0.0,37.0,0.0,1.0,0.0,0.0,2.0,0.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.7169865733836742,1.414213562373095,2.789452514516975,-15.0,17.0,10.0,1.0092931998469616,1.5874010519681994,2.496640322328366,1.0,2.0,2.0,,4
24,3,0.0,9.0,0.0,1.0,1.0,0.0,2.0,1.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,-14.0,17.0,10.0,0.7169865733836742,1.414213562373095,2.789452514516975,2.0,0.0,1.0,,4
24,4,0.0,12.0,1.0,2.0,4.0,2.0,0.0,0.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,1.602153087181417,2.519842099789746,3.963169474050273,-13.0,17.0,10.0,0.5140697464124628,2.0,7.7810453307450755,4.0,1.0,0.0,,4
24,5,0.0,4.0,1.0,4.0,2.0,2.0,3.0,0.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,1.889628026278926,2.6321480259049848,3.666437591909871,-12.0,17.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,4
24,6,0.0,6.0,0.0,1.0,0.0,2.0,3.0,0.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.9690903312758369,1.8171205928321397,3.4072440332239613,-11.0,17.0,10.0,1.1803760398064833,3.464101615137755,10.166251766655092,6.0,2.0,0.0,,4
24,7,0.0,3.0,1.0,6.0,1.0,1.0,0.0,1.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.5636388779908058,1.8171205928321397,5.858231888944481,-10.0,17.0,10.0,0.7682369555698564,1.3160740129524926,2.254578870504988,1.0,3.0,1.0,1.0,4
24,8,0.0,5.0,0.0,1.0,1.0,0.0,4.0,1.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.6417236286912363,1.5874010519681994,3.926678070010979,-9.0,17.0,10.0,1.2320114440238428,2.514866859365871,5.133519944977364,5.0,4.0,1.0,2.0,4
24,9,0.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.8641638392195773,2.154434690031884,5.371190766098912,-8.0,17.0,10.0,0.7652994010389412,2.0,5.226712571014367,1.0,8.0,1.0,2.0,4
24,10,0.0,4.0,0.0,1.0,3.0,0.0,2.0,2.0,11.018921819719406,21.78 vez(es) maior,3.72 vez(es) maior,11.02 vez(es) menor,1.22 vez(es) menor,1.18 vez(es) maior,1.27 vez(es) maior,1.22 vez(es) menor,5.655366526785203,5.8937524504631735,4.903439575767173,10,20,0.9690903312758369,1.8171205928321397,3.4072440332239613,-7.0,17.0,10.0,3.724345395257369,4.308869380063767,4.985132517003863,5.0,4.0,4.0,0.0,4
