UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
33,1,0.0,1.0,2.0,2.0,0.0,3.0,3.0,4.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.3814394671678305,2.0476725110792193,3.0352127706512633,-17.0,18.0,11.0,0.4231568860425209,2.449489742783178,14.17913827685435,,0.0,6.0,1.0,,5
33,2,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,0.7663176322114846,1.3195079107728942,2.2720358418058004,-16.0,18.0,11.0,0.392977928557206,2.6457513110645903,17.812705221639455,,1.0,0.0,7.0,,5
33,3,0.0,3.0,0.0,1.0,2.0,7.0,3.0,0.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.4148136215319367,2.6307168652587083,4.891578028251535,-15.0,18.0,11.0,0.8440797492828946,3.1072325059538595,11.438366877370074,,1.0,3.0,10.0,,5
33,4,0.0,1.0,0.0,1.0,1.0,10.0,2.0,3.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,0.7588113988418569,1.8205642030260802,4.367954965355955,-14.0,18.0,11.0,1.3319498479500922,2.5900200641113513,5.036378766680652,1.0,0.0,3.0,5.0,3.0,5
33,5,0.0,0.0,1.0,2.0,5.0,5.0,2.0,5.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.37291690027845,2.51188643150958,4.595743153516609,-13.0,18.0,11.0,1.3015267538315287,2.0,3.0733136973362316,1.0,2.0,2.0,2.0,4.0,5
33,6,0.0,3.0,2.0,0.0,6.0,2.0,4.0,4.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,2.0544546226018894,3.103691147830719,4.688786325649317,-12.0,18.0,11.0,1.1335077402907796,2.141127368338324,4.04445972841028,3.0,1.0,1.0,5.0,3.0,5
33,7,0.0,2.0,1.0,1.0,0.0,5.0,2.0,8.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.018505469087484,1.8205642030260802,3.2542329108056007,-11.0,18.0,11.0,1.3722183485774953,2.402248867962862,4.205452892836719,1.0,2.0,5.0,4.0,2.0,5
33,8,0.0,0.0,0.0,1.0,3.0,4.0,5.0,4.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.382875758214751,2.7831576837137404,5.601346792292195,-10.0,18.0,11.0,2.214653165050166,4.229485053762256,8.077356807964604,0.0,4.0,10.0,4.0,2.0,5
33,9,0.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.493246872531566,2.491461879231035,4.15696989549879,-9.0,18.0,11.0,2.663585593185187,3.866364089863526,5.612273663603229,3.0,3.0,8.0,3.0,4.0,5
33,10,0.0,9.0,0.0,2.0,2.0,3.0,1.0,5.0,22.44923722464574,46.24 vez(es) maior,1.25 vez(es) maior,2.49 vez(es) menor,1.40 vez(es) menor,1.74 vez(es) maior,1.02 vez(es) menor,1.65 vez(es) maior,12.156415168781066,15.003766535257338,12.04711837928069,25.905930281482085,36.33862577498917,1.2563785592274266,2.550849001251582,5.179036668046435,-8.0,18.0,11.0,1.2920626609475556,3.3010888478979767,8.43394667385927,2.0,1.0,14.0,7.0,2.0,5
