UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
42,1,0.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,0.9191858986891183,1.5650845800732873,2.6648469545458404,-20.0,21.0,11.0,0.0,0.0,0.0,0.0,,,3
42,2,0.0,4.0,5.0,3.0,2.0,16.0,4.0,4.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,3.11932040949593,5.981395124884882,11.469513529640283,-19.0,21.0,11.0,1.0,1.0,1.0,1.0,1.0,,3
42,3,0.0,4.0,1.0,1.0,8.0,9.0,9.0,3.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,1.5363502439282208,4.242640687119286,11.716078460063027,-18.0,21.0,11.0,5.735892587069393,11.31370849898476,22.315620116135808,8.0,16.0,,3
42,4,0.0,0.0,1.0,1.0,3.0,5.0,8.0,3.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,0.995630623104281,3.419951893353394,11.747399769991235,-17.0,21.0,11.0,0.9391360701723113,3.301927248894627,11.609311901940286,4.0,9.0,1.0,3
42,5,0.0,1.0,1.0,5.0,8.0,2.0,5.0,3.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,0.8421350347244184,1.7782794100389228,3.7550719656298446,-16.0,21.0,11.0,2.929969881341026,3.9148676411688634,5.230834878362768,3.0,5.0,4.0,3
42,6,0.0,8.0,0.0,1.0,2.0,6.0,10.0,3.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,5.85993976268205,7.829735282337727,10.461669756725541,-15.0,21.0,11.0,2.040550455386418,5.45136177849642,14.563396441194142,9.0,2.0,9.0,3
42,7,0.0,4.0,6.0,2.0,4.0,7.0,9.0,5.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,4.46909973977714,6.235739265752471,8.700733135212198,-14.0,21.0,11.0,4.9184002024609415,9.69761517167976,19.12079866354476,19.0,6.0,8.0,3
42,8,0.0,3.0,1.0,1.0,10.0,9.0,8.0,7.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,1.4077095480076731,3.8336586254776353,10.440320219110255,-13.0,21.0,11.0,4.873426686644043,6.804092115953368,9.499613413546406,9.0,7.0,5.0,3
42,9,0.0,9.0,4.0,1.0,4.0,11.0,7.0,8.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,4.723861349159656,7.256017249452535,11.145497810539844,-12.0,21.0,11.0,7.696287548340103,11.744602923506593,17.9223680202267,18.0,9.0,10.0,3
42,10,0.0,19.0,3.0,3.0,5.0,13.0,10.0,7.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,4.246670965842515,9.27800392684921,20.270314690969073,-11.0,21.0,11.0,8.097602959368562,12.123720061866571,18.151617074340674,18.0,11.0,9.0,3
42,11,0.0,9.0,4.0,2.0,6.0,13.0,7.0,12.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,4.657117488830053,7.56547104184642,12.290081197714315,-10.0,21.0,11.0,7.515231168848815,12.974308233432698,22.39886842521502,21.0,13.0,8.0,3
42,12,0.0,18.0,4.0,4.0,13.0,5.0,8.0,18.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,3.8166971862983,7.325683002969412,14.060751702453928,-9.0,21.0,11.0,6.5243413123231,12.791547153524581,25.078957514345902,23.0,13.0,7.0,3
42,13,0.0,18.0,0.0,0.0,11.0,19.0,13.0,115.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,13.034893811447686,16.443331770074092,20.74302741640045,-8.0,21.0,11.0,4.9018126086376395,8.879040017426007,16.08330589629857,14.0,5.0,10.0,3
42,14,0.0,21.0,4.0,5.0,10.0,23.0,16.0,165.0,30.28613037971162,37.77 vez(es) maior,1.12 vez(es) menor,1.78 vez(es) menor,8.98 vez(es) maior,4.09 vez(es) maior,1.55 vez(es) maior,1.29 vez(es) maior,24.942362079543766,18.912878381774632,22.44005346987404,38.40183653389271,48.69463034528097,5.973424543343364,13.259641315159596,29.433382230066776,-7.0,21.0,11.0,7.093904216964847,13.620772753638297,26.152798900579626,19.0,19.0,7.0,3
