UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2012 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
35,1,0.0,82.0,17.0,9.0,11.0,26.0,12.0,23.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,8.323287975128231,21.905478231601638,57.651492774137786,-15.0,16.0,13.0,9.18938638651723,13.266499161421603,19.1525301687422,,11.0,,16.0,4
35,2,0.0,55.0,12.0,10.0,23.0,36.0,16.0,25.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,11.146567717806365,23.724457658265056,50.495354752088645,-14.0,16.0,13.0,6.321501796590467,16.124515496597105,41.129467073826106,,10.0,,26.0,4
35,3,0.0,44.0,13.0,8.0,14.0,28.0,26.0,24.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,11.02901876195431,22.499274313315176,45.89867471910111,-13.0,16.0,13.0,15.953856752756291,21.229530461600277,28.249781266347995,,16.0,26.0,23.0,4
35,4,0.0,47.0,9.0,6.0,19.0,31.0,23.0,27.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,8.849205370007224,21.17554806479472,50.67164983696897,-12.0,16.0,13.0,12.343144261264294,20.965931153671168,35.61250357576672,,16.0,36.0,16.0,4
35,5,0.0,41.0,9.0,3.0,21.0,35.0,16.0,41.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,5.011888182657443,16.200308492037674,52.36549293843777,-11.0,16.0,13.0,15.974143612174975,24.54316975864784,37.70888733858014,,16.0,28.0,33.0,4
35,6,0.0,34.0,10.0,4.0,21.0,32.0,33.0,39.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,6.9213073482086696,19.46707520493164,54.75367556572186,-10.0,16.0,13.0,19.119251767801252,26.61266850904297,37.04298336428337,,19.0,31.0,32.0,4
35,7,0.0,34.0,11.0,9.0,16.0,38.0,32.0,87.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,12.724388847497229,24.698111695080335,47.9391763811623,-9.0,16.0,13.0,19.528027563805527,37.91434855150899,73.61203385177829,82.0,16.0,35.0,45.0,4
35,8,0.0,67.0,13.0,10.0,17.0,31.0,45.0,73.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,13.932884733933149,31.09297320391412,69.38785478536067,-8.0,16.0,13.0,15.775065474302403,29.731985305053573,56.03722860104408,55.0,12.0,32.0,37.0,4
35,9,0.0,83.0,3.0,11.0,25.0,41.0,37.0,128.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,15.075758258931629,34.30552654610077,78.06367888049604,-7.0,16.0,13.0,28.86885598570856,36.08432261602104,45.103219168147064,44.0,26.0,38.0,39.0,4
35,10,0.0,157.0,12.0,10.0,14.0,29.0,39.0,260.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,12.00727666638744,36.504009125618474,110.97792774055829,-6.0,16.0,13.0,14.918611287128165,32.54524679736385,70.99810221714118,47.0,11.0,31.0,70.0,4
35,11,0.0,154.0,11.0,16.0,28.0,42.0,70.0,395.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,20.468756834657803,51.879646532299475,131.4929746861361,-5.0,16.0,13.0,27.92369889588368,42.263550663484736,63.96744648139191,41.0,26.0,41.0,73.0,4
35,12,0.0,152.0,13.0,16.0,31.0,62.0,73.0,566.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,22.954747088834342,57.599608299330924,144.53284383386455,-4.0,16.0,13.0,28.40132668124295,38.302988726945216,51.65670469842593,34.0,37.0,29.0,59.0,4
35,13,0.0,145.0,9.0,16.0,25.0,56.0,59.0,1705.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,21.656970782297897,52.617717615596916,127.83986435156162,-3.0,16.0,13.0,35.4092017931723,51.58844899050164,75.16035195571001,34.0,62.0,42.0,80.0,4
35,14,0.0,149.0,18.0,19.0,63.0,103.0,80.0,1929.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,28.72702842256797,69.49711403302211,168.12907996862447,-2.0,16.0,13.0,63.06330700043055,73.5689739296231,85.82477168570642,67.0,82.0,62.0,86.0,4
35,15,0.0,165.0,16.0,16.0,79.0,119.0,86.0,1699.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,26.063103764435056,72.09619337085257,199.43369544728648,-1.0,16.0,13.0,49.794986363240454,60.954481614369726,74.61491809182114,83.0,55.0,56.0,54.0,4
35,16,1.0,159.0,10.0,12.0,149.0,105.0,54.0,1127.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,18.88057514472385,57.350915806930814,174.20695708058494,0.0,16.0,13.0,72.66502298235979,100.37823317880357,138.66079280734925,157.0,86.0,103.0,73.0,4
35,17,2.0,131.0,19.0,26.0,278.0,175.0,73.0,1039.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,35.58921938961477,81.21783119631067,185.3464677608883,1.0,16.0,13.0,114.07639093764121,135.0026876197858,159.7677268255128,154.0,159.0,119.0,114.0,4
35,18,8.0,134.0,12.0,11.0,401.0,133.0,114.0,688.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,20.718378600246222,68.7564577016534,228.1766622231274,2.0,16.0,13.0,102.1655805494304,122.41418517036928,146.67594164626908,152.0,134.0,105.0,105.0,4
35,19,5.0,125.0,16.0,26.0,460.0,182.0,105.0,673.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,38.58582086489597,88.77404561265864,204.24163585977007,3.0,16.0,13.0,132.6914597648264,160.46723344136205,194.05719896338255,145.0,201.0,175.0,130.0,4
35,20,5.0,119.0,18.0,37.0,436.0,175.0,130.0,588.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,51.21045512657819,100.04203598720805,195.43682905625013,4.0,16.0,13.0,116.25835917300994,155.0325326047841,206.73856346179483,149.0,237.0,133.0,123.0,4
35,21,3.0,121.0,11.0,62.0,630.0,202.0,123.0,331.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,72.65634362841048,116.84452977998784,187.90711805332208,5.0,16.0,13.0,106.35248608283544,159.92019177201107,240.46892252690213,165.0,242.0,182.0,90.0,4
35,22,3.0,100.0,9.0,82.0,595.0,183.0,90.0,386.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,75.60744197255278,107.80201109579288,153.70541963999042,6.0,16.0,13.0,110.89125883686808,163.5915732063617,241.33735250947257,159.0,260.0,175.0,99.0,4
35,23,7.0,113.0,16.0,55.0,738.0,160.0,99.0,301.0,183.2052874029245,14.02 vez(es) maior,1.11 vez(es) menor,7.05 vez(es) menor,1.42 vez(es) maior,4.08 vez(es) maior,1.10 vez(es) maior,1.41 vez(es) menor,77.82873444437705,80.67605132171781,96.96883351371113,180.64527428852284,237.82105016677457,64.4216758201488,99.60911408965607,154.0161053466864,7.0,16.0,13.0,111.04043263197275,154.11768127627516,213.9064043518177,131.0,205.0,202.0,104.0,4
