UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluta,intensidade alta absoluta,intensidade muito alta absoluta,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,n.seasons
27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,8,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
27,10,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,11,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,12,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
27,13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5,5,,10,20,,,,,,,,,,0
27,14,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10.0,5,5,,10,20,,,,,,,,,,0
27,15,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,5,5,,10,20,,,,,,,,,,0
27,16,0.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,5,5,,10,20,,,,,,,,,,0
27,17,0.0,3.0,0.0,0.0,2.0,0.0,0.0,6.0,5,5,,10,20,,,,,,,,,,0
27,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
27,19,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0,5,5,,10,20,,,,,,,,,,0
27,20,0.0,2.0,0.0,0.0,2.0,0.0,0.0,10.0,5,5,,10,20,,,,,,,,,,0
27,21,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
27,22,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,5,5,,10,20,,,,,,,,,,0
27,23,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
27,24,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,5,5,,10,20,,,,,,,,,,0
27,25,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
27,26,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,28,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5,5,,10,20,,,,,,,,,,0
27,29,5.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
27,30,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,31,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
27,32,7.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,33,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,34,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,36,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,37,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,38,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
27,39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
27,40,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
