UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluta,intensidade alta absoluta,intensidade muito alta absoluta,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,n.seasons
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
11,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5,5,,10,20,,,,,,,,,,0
11,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,5,,10,20,,,,,,,,,,0
11,5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5,5,,10,20,,,,,,,,,,0
11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
11,7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5,5,,10,20,,,,,,,,,,0
11,8,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
11,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
11,10,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,5,5,,10,20,,,,,,,,,,0
11,11,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
11,12,0.0,14.0,0.0,0.0,0.0,3.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
11,13,0.0,6.0,0.0,0.0,2.0,2.0,1.0,3.0,5,5,,10,20,,,,,,,,,,0
11,14,0.0,18.0,0.0,0.0,0.0,5.0,4.0,24.0,5,5,,10,20,,,,,,,,,,0
11,15,0.0,22.0,0.0,0.0,1.0,7.0,0.0,29.0,5,5,,10,20,,,,,,,,,,0
11,16,0.0,7.0,0.0,0.0,0.0,0.0,1.0,13.0,5,5,,10,20,,,,,,,,,,0
11,17,0.0,4.0,0.0,0.0,1.0,1.0,0.0,10.0,5,5,,10,20,,,,,,,,,,0
11,18,0.0,2.0,1.0,0.0,0.0,3.0,3.0,10.0,5,5,,10,20,,,,,,,,,,0
11,19,0.0,2.0,0.0,0.0,1.0,9.0,2.0,5.0,5,5,,10,20,,,,,,,,,,0
11,20,0.0,3.0,0.0,1.0,0.0,5.0,1.0,5.0,5,5,,10,20,,,,,,,,,,0
11,21,0.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,5,5,,10,20,,,,,,,,,,0
11,22,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
11,23,0.0,0.0,0.0,0.0,3.0,8.0,2.0,2.0,5,5,,10,20,,,,,,,,,,0
11,24,0.0,0.0,0.0,0.0,4.0,6.0,1.0,7.0,5,5,,10,20,,,,,,,,,,0
11,25,0.0,0.0,0.0,0.0,1.0,16.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
11,26,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,5,5,,10,20,,,,,,,,,,0
11,27,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
11,28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,5,,10,20,,,,,,,,,,0
11,29,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
11,30,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
