UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluta,intensidade alta absoluta,intensidade muito alta absoluta,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,n.seasons
14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,14,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5,5,,10,20,,,,,,,,,,0
14,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,5,,10,20,,,,,,,,,,0
14,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,19,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5,5,,10,20,,,,,,,,,,0
14,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,22,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5,5,,10,20,,,,,,,,,,0
14,23,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
14,24,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
14,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,29,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
14,30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,31,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,32,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,33,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
14,34,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,35,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,36,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5,5,,10,20,,,,,,,,,,0
14,37,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,38,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,39,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,40,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
14,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
14,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,47,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,51,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,5,5,,10,20,,,,,,,,,,0
14,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,,10,20,,,,,,,,,,0
