UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluta,intensidade alta absoluta,intensidade muito alta absoluta,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,n.seasons
28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,,10,20,,,,,,,,,,0
28,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
28,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5,,10,20,,,,,,,,,,0
28,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5,5,,10,20,,,,,,,,,,0
28,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5,5,,10,20,,,,,,,,,,0
28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5,5,,10,20,,,,,,,,,,0
28,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5,5,,10,20,,,,,,,,,,0
28,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5,5,,10,20,,,,,,,,,,0
28,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5,5,,10,20,,,,,,,,,,0
28,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5,5,,10,20,,,,,,,,,,0
